,time,location_name
0,1973-03-18,Cape Town
1,1973-03-19,Cape Town
2,1973-04-17,Cape Town
3,1973-05-16,Cape Town
4,1973-07-03,Cape Town
5,1973-07-04,Cape Town
6,1973-07-15,Cape Town
7,1973-07-22,Cape Town
8,1973-07-31,Cape Town
9,1973-08-01,Cape Town
10,1973-08-09,Cape Town
11,1973-08-15,Cape Town
12,1973-08-22,Cape Town
13,1973-08-23,Cape Town
14,1973-09-15,Cape Town
15,1973-10-03,Cape Town
16,1973-10-24,Cape Town
17,1973-12-04,Cape Town
18,1973-12-22,Cape Town
19,1974-01-18,Cape Town
20,1974-01-19,Cape Town
21,1974-01-20,Cape Town
22,1974-02-10,Cape Town
23,1974-02-11,Cape Town
24,1974-02-14,Cape Town
25,1974-02-15,Cape Town
26,1974-02-16,Cape Town
27,1974-02-21,Cape Town
28,1974-03-06,Cape Town
29,1974-03-07,Cape Town
30,1974-03-08,Cape Town
31,1974-03-09,Cape Town
32,1974-03-10,Cape Town
33,1974-03-11,Cape Town
34,1974-03-12,Cape Town
35,1974-03-13,Cape Town
36,1974-05-01,Cape Town
37,1974-05-28,Cape Town
38,1974-06-07,Cape Town
39,1974-06-08,Cape Town
40,1974-06-11,Cape Town
41,1974-07-24,Cape Town
42,1974-07-30,Cape Town
43,1974-08-05,Cape Town
44,1974-08-08,Cape Town
45,1974-08-27,Cape Town
46,1974-08-29,Cape Town
47,1974-09-02,Cape Town
48,1974-09-04,Cape Town
49,1974-11-04,Cape Town
50,1974-11-24,Cape Town
51,1974-12-21,Cape Town
52,1975-01-21,Cape Town
53,1975-01-30,Cape Town
54,1975-01-31,Cape Town
55,1975-02-15,Cape Town
56,1975-02-16,Cape Town
57,1975-02-17,Cape Town
58,1975-02-18,Cape Town
59,1975-02-20,Cape Town
60,1975-02-22,Cape Town
61,1975-02-25,Cape Town
62,1975-03-15,Cape Town
63,1975-04-11,Cape Town
64,1975-04-23,Cape Town
65,1975-04-25,Cape Town
66,1975-04-26,Cape Town
67,1975-04-27,Cape Town
68,1975-05-08,Cape Town
69,1975-05-23,Cape Town
70,1975-05-27,Cape Town
71,1975-06-04,Cape Town
72,1975-07-06,Cape Town
73,1975-07-07,Cape Town
74,1975-07-22,Cape Town
75,1975-07-23,Cape Town
76,1975-07-24,Cape Town
77,1975-08-01,Cape Town
78,1975-08-02,Cape Town
79,1975-08-13,Cape Town
80,1975-08-14,Cape Town
81,1975-10-01,Cape Town
82,1976-01-20,Cape Town
83,1976-01-21,Cape Town
84,1976-01-30,Cape Town
85,1976-01-31,Cape Town
86,1976-02-01,Cape Town
87,1976-02-02,Cape Town
88,1976-02-04,Cape Town
89,1976-02-16,Cape Town
90,1976-02-18,Cape Town
91,1976-02-29,Cape Town
92,1976-03-01,Cape Town
93,1976-03-27,Cape Town
94,1976-04-15,Cape Town
95,1976-04-16,Cape Town
96,1976-05-23,Cape Town
97,1976-05-26,Cape Town
98,1976-06-01,Cape Town
99,1976-06-02,Cape Town
100,1976-06-06,Cape Town
101,1976-06-19,Cape Town
102,1976-06-20,Cape Town
103,1976-06-23,Cape Town
104,1976-07-23,Cape Town
105,1976-07-24,Cape Town
106,1976-08-11,Cape Town
107,1976-08-12,Cape Town
108,1976-11-23,Cape Town
109,1976-12-11,Cape Town
110,1976-12-17,Cape Town
111,1976-12-30,Cape Town
112,1977-01-12,Cape Town
113,1977-01-13,Cape Town
114,1977-01-14,Cape Town
115,1977-01-29,Cape Town
116,1977-01-30,Cape Town
117,1977-02-08,Cape Town
118,1977-02-09,Cape Town
119,1977-02-10,Cape Town
120,1977-02-15,Cape Town
121,1977-02-17,Cape Town
122,1977-02-18,Cape Town
123,1977-02-19,Cape Town
124,1977-02-20,Cape Town
125,1977-02-26,Cape Town
126,1977-02-27,Cape Town
127,1977-03-04,Cape Town
128,1977-03-09,Cape Town
