,time,location_name
0,1973-04-06,Moscow
1,1973-06-30,Moscow
2,1973-07-07,Moscow
3,1973-07-19,Moscow
4,1973-07-20,Moscow
5,1973-07-24,Moscow
6,1973-08-09,Moscow
7,1973-08-13,Moscow
8,1973-09-22,Moscow
9,1973-10-13,Moscow
10,1973-11-25,Moscow
11,1973-12-09,Moscow
12,1974-03-31,Moscow
13,1974-04-12,Moscow
14,1974-05-19,Moscow
15,1974-05-24,Moscow
16,1974-07-02,Moscow
17,1974-07-23,Moscow
18,1974-08-15,Moscow
19,1974-11-29,Moscow
20,1974-11-30,Moscow
21,1975-03-11,Moscow
22,1975-04-04,Moscow
23,1975-05-31,Moscow
24,1975-06-10,Moscow
25,1975-07-25,Moscow
26,1975-07-27,Moscow
27,1975-08-20,Moscow
28,1975-10-28,Moscow
29,1975-10-30,Moscow
30,1975-12-15,Moscow
31,1975-12-28,Moscow
32,1976-01-09,Moscow
33,1976-01-12,Moscow
34,1976-01-14,Moscow
35,1976-01-15,Moscow
36,1976-01-20,Moscow
37,1976-01-21,Moscow
38,1976-02-04,Moscow
39,1976-02-05,Moscow
40,1976-02-06,Moscow
41,1976-02-07,Moscow
42,1976-02-08,Moscow
43,1976-02-25,Moscow
44,1976-03-30,Moscow
45,1976-04-08,Moscow
46,1976-04-27,Moscow
47,1976-04-29,Moscow
48,1976-07-19,Moscow
49,1976-11-14,Moscow
50,1977-01-03,Moscow
51,1977-02-08,Moscow
52,1977-03-21,Moscow
53,1977-04-14,Moscow
54,1977-05-01,Moscow
55,1977-05-03,Moscow
56,1977-05-08,Moscow
57,1977-06-10,Moscow
58,1977-07-29,Moscow
59,1977-07-30,Moscow
60,1977-08-01,Moscow
61,1977-08-02,Moscow
62,1977-08-03,Moscow
63,1977-08-04,Moscow
64,1977-08-05,Moscow
65,1977-08-06,Moscow
66,1977-08-07,Moscow
67,1977-08-08,Moscow
68,1977-08-09,Moscow
69,1977-08-10,Moscow
70,1977-09-17,Moscow
71,1977-10-14,Moscow
72,1977-11-01,Moscow
73,1977-11-27,Moscow
74,1978-03-26,Moscow
75,1978-04-25,Moscow
76,1978-05-31,Moscow
77,1978-06-19,Moscow
78,1978-07-24,Moscow
79,1978-07-25,Moscow
80,1978-08-07,Moscow
81,1978-09-02,Moscow
82,1978-09-11,Moscow
83,1978-10-02,Moscow
84,1978-10-07,Moscow
85,1978-11-19,Moscow
86,1978-11-22,Moscow
87,1978-11-23,Moscow
88,1978-12-13,Moscow
89,1978-12-16,Moscow
90,1978-12-17,Moscow
91,1978-12-18,Moscow
92,1978-12-28,Moscow
93,1978-12-29,Moscow
94,1978-12-30,Moscow
95,1978-12-31,Moscow
96,1979-01-01,Moscow
97,1979-01-02,Moscow
98,1979-01-04,Moscow
99,1979-01-07,Moscow
100,1979-01-08,Moscow
101,1979-01-25,Moscow
102,1979-02-12,Moscow
103,1979-02-15,Moscow
104,1979-03-18,Moscow
105,1979-04-15,Moscow
106,1979-04-23,Moscow
107,1979-06-09,Moscow
108,1979-07-05,Moscow
109,1979-07-13,Moscow
110,1979-07-14,Moscow
111,1979-09-08,Moscow
112,1979-12-13,Moscow
113,1979-12-23,Moscow
114,1980-01-08,Moscow
115,1980-01-09,Moscow
116,1980-01-29,Moscow
117,1980-01-31,Moscow
118,1980-05-19,Moscow
119,1980-05-30,Moscow
120,1980-06-04,Moscow
121,1980-06-29,Moscow
122,1980-07-02,Moscow
123,1980-07-07,Moscow
124,1980-07-10,Moscow
125,1980-07-11,Moscow
126,1980-07-14,Moscow
127,1980-07-24,Moscow
128,1980-08-05,Moscow
129,1980-08-11,Moscow
130,1980-08-22,Moscow
131,1980-09-01,Moscow
132,1980-10-30,Moscow
133,1980-11-30,Moscow
134,1980-12-16,Moscow
135,1981-02-04,Moscow
136,1981-04-11,Moscow
137,1981-05-05,Moscow
138,1981-05-10,Moscow
139,1981-06-05,Moscow
140,1981-06-10,Moscow
141,1981-06-11,Moscow
142,1981-06-13,Moscow
143,1981-06-23,Moscow
144,1981-06-24,Moscow
145,1981-06-25,Moscow
146,1981-06-27,Moscow
147,1981-06-28,Moscow
148,1981-06-29,Moscow
149,1981-06-30,Moscow
150,1981-07-01,Moscow
151,1981-07-20,Moscow
152,1981-07-21,Moscow
153,1981-07-22,Moscow
154,1981-07-25,Moscow
155,1981-07-26,Moscow
156,1981-07-27,Moscow
157,1981-07-28,Moscow
158,1981-07-29,Moscow
159,1981-07-30,Moscow
160,1981-07-31,Moscow
161,1981-08-01,Moscow
162,1981-08-02,Moscow
163,1981-08-04,Moscow
164,1981-09-16,Moscow
165,1981-09-17,Moscow
166,1981-10-14,Moscow
167,1981-12-10,Moscow
168,1981-12-13,Moscow
169,1981-12-14,Moscow
170,1981-12-15,Moscow
171,1982-01-04,Moscow
172,1982-01-05,Moscow
173,1982-01-07,Moscow
174,1982-01-08,Moscow
175,1982-01-09,Moscow
176,1982-04-13,Moscow
177,1982-05-12,Moscow
178,1982-06-06,Moscow
179,1982-06-07,Moscow
180,1982-06-15,Moscow
181,1982-06-16,Moscow
182,1982-07-03,Moscow
183,1982-07-07,Moscow
184,1982-08-02,Moscow
185,1982-10-05,Moscow
186,1982-10-18,Moscow
187,1982-10-21,Moscow
188,1982-11-05,Moscow
189,1982-11-19,Moscow
190,1982-12-02,Moscow
191,1982-12-16,Moscow
192,1983-04-15,Moscow
193,1983-06-21,Moscow
194,1983-07-10,Moscow
195,1983-07-31,Moscow
196,1983-09-29,Moscow
197,1983-10-02,Moscow
198,1983-10-10,Moscow
199,1983-10-11,Moscow
200,1983-10-27,Moscow
201,1983-11-12,Moscow
202,1983-11-13,Moscow
203,1983-11-29,Moscow
204,1983-11-30,Moscow
205,1984-02-08,Moscow
206,1984-05-04,Moscow
207,1984-06-09,Moscow
208,1984-07-13,Moscow
209,1984-07-14,Moscow
210,1984-07-19,Moscow
211,1984-07-30,Moscow
212,1984-09-06,Moscow
213,1984-09-27,Moscow
214,1984-11-08,Moscow
215,1984-11-09,Moscow
216,1984-11-29,Moscow
217,1985-01-06,Moscow
218,1985-01-21,Moscow
219,1985-01-22,Moscow
220,1985-02-09,Moscow
221,1985-02-11,Moscow
222,1985-02-12,Moscow
223,1985-02-17,Moscow
224,1985-05-21,Moscow
225,1985-05-22,Moscow
226,1985-07-23,Moscow
227,1985-08-08,Moscow
228,1985-08-09,Moscow
229,1985-08-10,Moscow
230,1985-09-07,Moscow
231,1985-09-08,Moscow
232,1985-09-18,Moscow
233,1985-11-03,Moscow
234,1985-11-08,Moscow
235,1985-12-07,Moscow
236,1985-12-20,Moscow
237,1985-12-22,Moscow
238,1985-12-30,Moscow
239,1986-02-21,Moscow
240,1986-04-12,Moscow
241,1986-05-07,Moscow
242,1986-05-22,Moscow
243,1986-05-29,Moscow
244,1986-06-07,Moscow
245,1986-06-08,Moscow
246,1986-06-09,Moscow
247,1986-06-23,Moscow
248,1986-07-03,Moscow
249,1986-07-07,Moscow
250,1986-07-08,Moscow
251,1986-07-10,Moscow
252,1986-07-11,Moscow
253,1986-08-21,Moscow
254,1986-08-26,Moscow
255,1986-08-31,Moscow
256,1986-09-16,Moscow
257,1986-09-29,Moscow
258,1986-10-11,Moscow
259,1986-10-22,Moscow
260,1986-12-04,Moscow
261,1986-12-06,Moscow
262,1986-12-07,Moscow
263,1986-12-16,Moscow
264,1986-12-17,Moscow
265,1987-01-04,Moscow
266,1987-01-05,Moscow
267,1987-01-06,Moscow
268,1987-01-07,Moscow
269,1987-01-08,Moscow
270,1987-01-09,Moscow
271,1987-01-10,Moscow
272,1987-01-11,Moscow
273,1987-01-12,Moscow
274,1987-01-13,Moscow
275,1987-01-25,Moscow
276,1987-01-28,Moscow
277,1987-01-29,Moscow
278,1987-01-30,Moscow
279,1987-03-03,Moscow
280,1987-05-01,Moscow
281,1987-05-05,Moscow
282,1987-05-20,Moscow
283,1987-05-24,Moscow
284,1987-05-26,Moscow
285,1987-06-18,Moscow
286,1987-06-20,Moscow
287,1987-06-21,Moscow
288,1987-06-24,Moscow
289,1987-08-06,Moscow
290,1987-08-07,Moscow
291,1987-08-08,Moscow
292,1987-08-27,Moscow
293,1987-11-23,Moscow
294,1987-12-16,Moscow
295,1988-01-20,Moscow
296,1988-03-31,Moscow
297,1988-04-14,Moscow
298,1988-04-21,Moscow
299,1988-06-05,Moscow
300,1988-06-06,Moscow
301,1988-06-07,Moscow
302,1988-06-08,Moscow
303,1988-06-25,Moscow
304,1988-06-26,Moscow
305,1988-06-30,Moscow
306,1988-07-01,Moscow
307,1988-07-04,Moscow
308,1988-07-05,Moscow
309,1988-07-06,Moscow
310,1988-07-13,Moscow
311,1988-07-14,Moscow
312,1988-07-15,Moscow
313,1988-07-16,Moscow
314,1988-07-17,Moscow
315,1988-07-18,Moscow
316,1988-07-19,Moscow
317,1988-07-20,Moscow
318,1988-07-21,Moscow
319,1988-07-22,Moscow
320,1988-07-28,Moscow
321,1988-08-04,Moscow
322,1988-10-28,Moscow
323,1988-11-05,Moscow
324,1988-12-29,Moscow
325,1989-01-03,Moscow
326,1989-02-27,Moscow
327,1989-03-16,Moscow
328,1989-06-18,Moscow
329,1989-06-26,Moscow
330,1989-06-27,Moscow
331,1989-06-28,Moscow
332,1989-06-29,Moscow
333,1989-06-30,Moscow
334,1989-07-01,Moscow
335,1989-07-02,Moscow
336,1989-07-03,Moscow
337,1989-07-11,Moscow
338,1989-07-12,Moscow
339,1989-07-13,Moscow
340,1989-07-14,Moscow
341,1989-08-03,Moscow
342,1989-08-04,Moscow
343,1989-08-22,Moscow
344,1989-10-04,Moscow
345,1989-10-05,Moscow
346,1989-10-09,Moscow
347,1989-11-01,Moscow
348,1989-11-02,Moscow
349,1989-12-17,Moscow
350,1989-12-22,Moscow
351,1990-01-12,Moscow
352,1990-01-14,Moscow
353,1990-02-22,Moscow
354,1990-02-23,Moscow
355,1990-03-21,Moscow
356,1990-03-22,Moscow
357,1990-04-11,Moscow
358,1990-04-24,Moscow
359,1990-07-06,Moscow
360,1990-07-07,Moscow
361,1990-07-08,Moscow
362,1990-07-12,Moscow
363,1990-08-12,Moscow
364,1990-09-14,Moscow
365,1990-09-18,Moscow
366,1990-09-23,Moscow
367,1990-10-28,Moscow
368,1990-10-31,Moscow
369,1990-11-03,Moscow
370,1991-01-11,Moscow
371,1991-01-26,Moscow
372,1991-01-28,Moscow
373,1991-01-29,Moscow
374,1991-01-30,Moscow
375,1991-01-31,Moscow
376,1991-02-01,Moscow
377,1991-02-02,Moscow
378,1991-04-20,Moscow
379,1991-05-09,Moscow
380,1991-06-19,Moscow
381,1991-06-20,Moscow
382,1991-06-24,Moscow
383,1991-06-25,Moscow
384,1991-06-28,Moscow
385,1991-06-29,Moscow
386,1991-06-30,Moscow
387,1991-07-01,Moscow
388,1991-07-02,Moscow
389,1991-07-16,Moscow
390,1991-07-24,Moscow
391,1991-08-21,Moscow
392,1991-10-17,Moscow
