,time,location_name
0,1973-07-23,Reykjavik
1,1973-08-24,Reykjavik
2,1973-09-23,Reykjavik
3,1973-09-24,Reykjavik
4,1973-11-06,Reykjavik
5,1973-11-11,Reykjavik
6,1973-11-16,Reykjavik
7,1973-11-23,Reykjavik
8,1973-11-26,Reykjavik
9,1973-12-08,Reykjavik
10,1973-12-13,Reykjavik
11,1973-12-14,Reykjavik
12,1973-12-15,Reykjavik
13,1973-12-17,Reykjavik
14,1973-12-18,Reykjavik
15,1973-12-19,Reykjavik
16,1973-12-21,Reykjavik
17,1973-12-22,Reykjavik
18,1973-12-23,Reykjavik
19,1973-12-24,Reykjavik
20,1973-12-31,Reykjavik
21,1974-01-09,Reykjavik
22,1974-01-19,Reykjavik
23,1974-02-16,Reykjavik
24,1974-02-17,Reykjavik
25,1974-03-04,Reykjavik
26,1974-03-05,Reykjavik
27,1974-03-28,Reykjavik
28,1974-06-22,Reykjavik
29,1974-06-23,Reykjavik
30,1974-06-25,Reykjavik
31,1974-07-11,Reykjavik
32,1974-07-13,Reykjavik
33,1974-07-26,Reykjavik
34,1974-07-27,Reykjavik
35,1974-08-08,Reykjavik
36,1974-08-11,Reykjavik
37,1974-08-12,Reykjavik
38,1974-08-13,Reykjavik
39,1974-10-23,Reykjavik
40,1974-12-11,Reykjavik
41,1974-12-20,Reykjavik
42,1974-12-22,Reykjavik
43,1974-12-30,Reykjavik
44,1975-01-01,Reykjavik
45,1975-01-02,Reykjavik
46,1975-01-04,Reykjavik
47,1975-01-05,Reykjavik
48,1975-01-08,Reykjavik
49,1975-01-10,Reykjavik
50,1975-01-21,Reykjavik
51,1975-01-29,Reykjavik
52,1975-02-01,Reykjavik
53,1975-02-15,Reykjavik
54,1975-04-09,Reykjavik
55,1975-04-30,Reykjavik
56,1975-05-20,Reykjavik
57,1975-07-24,Reykjavik
58,1975-08-06,Reykjavik
59,1975-08-07,Reykjavik
60,1975-08-13,Reykjavik
61,1975-08-14,Reykjavik
62,1975-11-02,Reykjavik
63,1975-12-02,Reykjavik
64,1975-12-05,Reykjavik
65,1975-12-06,Reykjavik
66,1975-12-17,Reykjavik
67,1975-12-26,Reykjavik
68,1976-01-01,Reykjavik
69,1976-01-12,Reykjavik
70,1976-01-13,Reykjavik
