,time,location_name
0,1973-03-23,Rio de Janeiro
1,1973-05-12,Rio de Janeiro
2,1973-05-13,Rio de Janeiro
3,1973-06-06,Rio de Janeiro
4,1973-07-23,Rio de Janeiro
5,1973-07-24,Rio de Janeiro
6,1973-07-28,Rio de Janeiro
7,1973-09-02,Rio de Janeiro
8,1973-09-06,Rio de Janeiro
9,1973-09-09,Rio de Janeiro
10,1973-09-19,Rio de Janeiro
11,1974-01-01,Rio de Janeiro
12,1974-01-10,Rio de Janeiro
13,1974-01-12,Rio de Janeiro
14,1974-02-22,Rio de Janeiro
15,1974-02-24,Rio de Janeiro
16,1974-03-23,Rio de Janeiro
17,1974-04-14,Rio de Janeiro
18,1974-04-26,Rio de Janeiro
19,1974-06-16,Rio de Janeiro
20,1974-07-01,Rio de Janeiro
21,1974-07-03,Rio de Janeiro
22,1974-07-19,Rio de Janeiro
23,1974-08-16,Rio de Janeiro
24,1974-08-18,Rio de Janeiro
25,1974-08-19,Rio de Janeiro
26,1974-09-07,Rio de Janeiro
27,1974-10-30,Rio de Janeiro
28,1974-11-06,Rio de Janeiro
29,1974-11-20,Rio de Janeiro
30,1974-12-02,Rio de Janeiro
31,1974-12-03,Rio de Janeiro
32,1975-01-02,Rio de Janeiro
33,1975-01-16,Rio de Janeiro
34,1975-01-17,Rio de Janeiro
35,1975-01-18,Rio de Janeiro
36,1975-02-05,Rio de Janeiro
37,1975-02-15,Rio de Janeiro
38,1975-02-16,Rio de Janeiro
39,1975-02-18,Rio de Janeiro
40,1975-04-16,Rio de Janeiro
41,1975-05-06,Rio de Janeiro
42,1975-05-27,Rio de Janeiro
43,1975-07-06,Rio de Janeiro
44,1975-07-07,Rio de Janeiro
45,1975-07-08,Rio de Janeiro
46,1975-07-09,Rio de Janeiro
47,1975-07-10,Rio de Janeiro
48,1975-07-11,Rio de Janeiro
49,1975-07-17,Rio de Janeiro
50,1975-07-18,Rio de Janeiro
51,1975-07-19,Rio de Janeiro
52,1975-07-20,Rio de Janeiro
53,1975-07-23,Rio de Janeiro
54,1975-07-24,Rio de Janeiro
55,1975-08-26,Rio de Janeiro
56,1975-09-06,Rio de Janeiro
57,1975-09-26,Rio de Janeiro
58,1975-10-02,Rio de Janeiro
59,1975-11-02,Rio de Janeiro
60,1975-12-09,Rio de Janeiro
61,1975-12-10,Rio de Janeiro
62,1975-12-13,Rio de Janeiro
63,1975-12-26,Rio de Janeiro
64,1976-01-10,Rio de Janeiro
65,1976-01-12,Rio de Janeiro
66,1976-01-16,Rio de Janeiro
67,1976-01-20,Rio de Janeiro
68,1976-01-26,Rio de Janeiro
69,1976-02-08,Rio de Janeiro
70,1976-04-02,Rio de Janeiro
71,1976-06-30,Rio de Janeiro
72,1976-07-01,Rio de Janeiro
73,1976-07-02,Rio de Janeiro
74,1976-07-03,Rio de Janeiro
75,1976-07-07,Rio de Janeiro
76,1976-07-10,Rio de Janeiro
77,1976-07-11,Rio de Janeiro
78,1976-08-15,Rio de Janeiro
79,1976-08-16,Rio de Janeiro
80,1976-08-21,Rio de Janeiro
81,1976-08-29,Rio de Janeiro
82,1976-09-12,Rio de Janeiro
83,1976-09-28,Rio de Janeiro
84,1976-10-05,Rio de Janeiro
85,1976-10-15,Rio de Janeiro
86,1976-10-20,Rio de Janeiro
87,1976-10-21,Rio de Janeiro
88,1976-11-06,Rio de Janeiro
89,1976-12-08,Rio de Janeiro
90,1976-12-09,Rio de Janeiro
91,1976-12-16,Rio de Janeiro
92,1976-12-26,Rio de Janeiro
93,1977-01-04,Rio de Janeiro
94,1977-01-19,Rio de Janeiro
95,1977-01-28,Rio de Janeiro
96,1977-02-05,Rio de Janeiro
97,1977-03-01,Rio de Janeiro
98,1977-04-01,Rio de Janeiro
99,1977-04-21,Rio de Janeiro
100,1977-05-16,Rio de Janeiro
101,1977-05-17,Rio de Janeiro
102,1977-05-18,Rio de Janeiro
103,1977-07-16,Rio de Janeiro
104,1977-07-24,Rio de Janeiro
105,1977-08-18,Rio de Janeiro
106,1977-08-19,Rio de Janeiro
107,1977-09-02,Rio de Janeiro
108,1977-10-26,Rio de Janeiro
109,1977-11-01,Rio de Janeiro
110,1977-11-26,Rio de Janeiro
111,1978-01-20,Rio de Janeiro
112,1978-01-21,Rio de Janeiro
113,1978-01-25,Rio de Janeiro
114,1978-01-26,Rio de Janeiro
115,1978-01-29,Rio de Janeiro
116,1978-01-30,Rio de Janeiro
117,1978-01-31,Rio de Janeiro
118,1978-02-03,Rio de Janeiro
119,1978-02-06,Rio de Janeiro
120,1978-02-07,Rio de Janeiro
121,1978-03-05,Rio de Janeiro
122,1978-03-06,Rio de Janeiro
123,1978-04-20,Rio de Janeiro
124,1978-05-18,Rio de Janeiro
125,1978-06-01,Rio de Janeiro
126,1978-06-02,Rio de Janeiro
127,1978-06-06,Rio de Janeiro
128,1978-08-14,Rio de Janeiro
129,1978-08-15,Rio de Janeiro
130,1978-08-16,Rio de Janeiro
