,time,location_name
0,1973-04-29,Sydney
1,1973-06-12,Sydney
2,1973-08-11,Sydney
3,1973-11-20,Sydney
4,1973-12-30,Sydney
5,1974-01-10,Sydney
6,1974-01-11,Sydney
7,1974-02-18,Sydney
8,1974-02-19,Sydney
9,1974-03-10,Sydney
10,1974-03-11,Sydney
11,1974-03-23,Sydney
12,1974-05-25,Sydney
13,1974-06-15,Sydney
14,1974-08-05,Sydney
15,1974-08-06,Sydney
16,1974-09-26,Sydney
17,1974-10-17,Sydney
18,1975-01-02,Sydney
19,1975-01-03,Sydney
20,1975-01-09,Sydney
21,1975-01-25,Sydney
22,1975-02-08,Sydney
23,1975-02-09,Sydney
24,1975-02-11,Sydney
25,1975-02-24,Sydney
26,1975-06-12,Sydney
27,1975-06-20,Sydney
28,1975-07-03,Sydney
29,1975-09-05,Sydney
30,1975-11-25,Sydney
31,1975-12-12,Sydney
32,1975-12-16,Sydney
33,1976-01-13,Sydney
34,1976-01-20,Sydney
35,1976-01-22,Sydney
36,1976-02-28,Sydney
37,1976-03-02,Sydney
38,1976-03-03,Sydney
39,1976-06-30,Sydney
40,1976-07-01,Sydney
41,1976-07-14,Sydney
42,1976-12-03,Sydney
43,1977-01-01,Sydney
44,1977-01-16,Sydney
45,1977-01-30,Sydney
46,1977-02-01,Sydney
47,1977-02-06,Sydney
48,1977-02-22,Sydney
49,1977-03-03,Sydney
50,1977-03-04,Sydney
51,1977-04-03,Sydney
52,1977-05-15,Sydney
53,1977-05-31,Sydney
54,1977-06-01,Sydney
55,1977-06-10,Sydney
56,1977-07-27,Sydney
57,1977-11-10,Sydney
58,1977-12-10,Sydney
59,1977-12-27,Sydney
60,1978-01-10,Sydney
61,1978-01-14,Sydney
62,1978-01-15,Sydney
63,1978-01-22,Sydney
64,1978-01-23,Sydney
65,1978-01-24,Sydney
66,1978-01-27,Sydney
67,1978-01-28,Sydney
68,1978-02-11,Sydney
69,1978-02-19,Sydney
70,1978-02-20,Sydney
71,1978-02-27,Sydney
72,1978-03-18,Sydney
73,1978-03-19,Sydney
74,1978-03-20,Sydney
75,1978-03-22,Sydney
76,1978-04-09,Sydney
77,1978-05-31,Sydney
78,1978-06-01,Sydney
79,1978-06-14,Sydney
80,1978-07-06,Sydney
81,1978-07-07,Sydney
82,1978-07-10,Sydney
83,1978-07-15,Sydney
84,1978-10-31,Sydney
85,1979-01-06,Sydney
86,1979-01-09,Sydney
87,1979-01-10,Sydney
88,1979-01-14,Sydney
89,1979-01-15,Sydney
90,1979-01-22,Sydney
91,1979-02-13,Sydney
92,1979-02-26,Sydney
93,1979-03-03,Sydney
94,1979-03-04,Sydney
95,1979-04-01,Sydney
96,1979-10-10,Sydney
97,1979-11-15,Sydney
98,1979-12-01,Sydney
99,1979-12-04,Sydney
100,1979-12-05,Sydney
101,1979-12-08,Sydney
102,1979-12-13,Sydney
103,1979-12-16,Sydney
104,1980-01-01,Sydney
105,1980-01-02,Sydney
106,1980-01-03,Sydney
107,1980-01-25,Sydney
108,1980-01-28,Sydney
109,1980-01-29,Sydney
110,1980-01-30,Sydney
111,1980-01-31,Sydney
112,1980-02-01,Sydney
113,1980-02-02,Sydney
114,1980-02-21,Sydney
115,1980-03-04,Sydney
116,1980-05-09,Sydney
117,1980-09-08,Sydney
118,1980-09-09,Sydney
119,1980-09-15,Sydney
120,1980-11-18,Sydney
121,1980-12-03,Sydney
122,1980-12-13,Sydney
123,1980-12-29,Sydney
124,1981-01-21,Sydney
125,1981-01-26,Sydney
126,1981-01-30,Sydney
127,1981-02-04,Sydney
128,1981-02-05,Sydney
129,1981-02-06,Sydney
130,1981-02-07,Sydney
131,1981-02-09,Sydney
132,1981-02-15,Sydney
133,1981-02-17,Sydney
134,1981-04-03,Sydney
135,1981-04-04,Sydney
136,1981-07-28,Sydney
137,1981-08-21,Sydney
138,1981-09-27,Sydney
139,1981-10-02,Sydney
140,1981-10-03,Sydney
141,1981-11-02,Sydney
142,1981-12-03,Sydney
143,1981-12-07,Sydney
144,1981-12-12,Sydney
145,1981-12-13,Sydney
146,1982-01-07,Sydney
147,1982-01-16,Sydney
148,1982-01-21,Sydney
149,1982-01-24,Sydney
150,1982-01-25,Sydney
151,1982-02-16,Sydney
