,time,location_name
0,1973-03-28,Tokyo
1,1973-04-12,Tokyo
2,1973-04-15,Tokyo
3,1973-04-17,Tokyo
4,1973-04-26,Tokyo
5,1973-05-02,Tokyo
6,1973-07-29,Tokyo
7,1973-07-30,Tokyo
8,1973-07-31,Tokyo
9,1973-08-01,Tokyo
10,1973-08-02,Tokyo
11,1973-08-03,Tokyo
12,1973-08-05,Tokyo
13,1973-08-10,Tokyo
14,1973-08-11,Tokyo
15,1973-08-12,Tokyo
16,1973-08-15,Tokyo
17,1973-08-17,Tokyo
18,1973-08-18,Tokyo
19,1973-08-19,Tokyo
20,1973-08-24,Tokyo
21,1973-08-25,Tokyo
22,1973-08-28,Tokyo
23,1973-09-05,Tokyo
24,1973-09-10,Tokyo
25,1973-09-13,Tokyo
26,1973-09-22,Tokyo
27,1973-10-13,Tokyo
28,1973-10-28,Tokyo
29,1974-01-21,Tokyo
30,1974-01-25,Tokyo
31,1974-02-25,Tokyo
32,1974-03-27,Tokyo
33,1974-04-14,Tokyo
34,1974-04-21,Tokyo
35,1974-07-01,Tokyo
36,1974-07-02,Tokyo
37,1974-08-17,Tokyo
38,1974-08-25,Tokyo
39,1974-08-26,Tokyo
40,1974-09-27,Tokyo
41,1974-10-22,Tokyo
42,1975-01-22,Tokyo
43,1975-02-21,Tokyo
44,1975-03-20,Tokyo
45,1975-04-05,Tokyo
46,1975-04-06,Tokyo
47,1975-07-05,Tokyo
48,1975-07-18,Tokyo
49,1975-08-06,Tokyo
50,1975-08-22,Tokyo
51,1975-08-23,Tokyo
52,1975-09-08,Tokyo
53,1975-09-09,Tokyo
54,1975-10-05,Tokyo
55,1975-10-18,Tokyo
56,1975-10-31,Tokyo
57,1975-11-07,Tokyo
58,1975-11-15,Tokyo
59,1976-02-28,Tokyo
60,1976-04-07,Tokyo
61,1976-05-16,Tokyo
62,1976-06-09,Tokyo
63,1976-06-11,Tokyo
64,1976-06-26,Tokyo
65,1976-07-11,Tokyo
66,1976-07-12,Tokyo
67,1976-07-16,Tokyo
68,1976-08-02,Tokyo
69,1976-08-10,Tokyo
70,1976-08-14,Tokyo
71,1976-08-24,Tokyo
72,1976-09-09,Tokyo
73,1976-09-22,Tokyo
74,1976-10-09,Tokyo
75,1976-10-10,Tokyo
76,1976-10-14,Tokyo
77,1977-01-14,Tokyo
78,1977-01-23,Tokyo
79,1977-01-26,Tokyo
80,1977-01-31,Tokyo
81,1977-03-05,Tokyo
82,1977-03-23,Tokyo
83,1977-03-24,Tokyo
84,1977-03-30,Tokyo
85,1977-04-18,Tokyo
86,1977-04-28,Tokyo
87,1977-05-04,Tokyo
88,1977-05-15,Tokyo
89,1977-06-02,Tokyo
90,1977-07-11,Tokyo
91,1977-08-04,Tokyo
92,1977-08-05,Tokyo
93,1977-08-06,Tokyo
94,1977-08-08,Tokyo
95,1977-08-13,Tokyo
96,1977-08-14,Tokyo
97,1977-08-16,Tokyo
98,1977-08-17,Tokyo
99,1977-08-18,Tokyo
100,1977-09-08,Tokyo
101,1977-09-09,Tokyo
102,1977-09-19,Tokyo
103,1977-11-16,Tokyo
104,1978-01-03,Tokyo
105,1978-01-04,Tokyo
106,1978-03-10,Tokyo
107,1978-04-03,Tokyo
108,1978-05-18,Tokyo
109,1978-05-30,Tokyo
110,1978-06-17,Tokyo
111,1978-06-20,Tokyo
112,1978-06-21,Tokyo
113,1978-06-22,Tokyo
114,1978-06-23,Tokyo
115,1978-07-05,Tokyo
116,1978-07-24,Tokyo
117,1978-07-31,Tokyo
118,1978-08-01,Tokyo
119,1978-08-02,Tokyo
120,1978-08-03,Tokyo
121,1978-08-06,Tokyo
122,1978-08-08,Tokyo
123,1978-08-10,Tokyo
124,1978-08-11,Tokyo
125,1978-08-12,Tokyo
126,1978-08-13,Tokyo
127,1978-08-14,Tokyo
128,1978-08-15,Tokyo
129,1978-08-16,Tokyo
130,1978-08-17,Tokyo
131,1978-08-19,Tokyo
132,1978-08-20,Tokyo
133,1978-08-21,Tokyo
134,1978-08-22,Tokyo
135,1978-08-23,Tokyo
136,1978-08-24,Tokyo
137,1978-09-10,Tokyo
138,1978-10-05,Tokyo
139,1978-10-19,Tokyo
140,1978-10-28,Tokyo
141,1979-01-13,Tokyo
142,1979-01-14,Tokyo
143,1979-01-15,Tokyo
144,1979-01-18,Tokyo
145,1979-01-29,Tokyo
146,1979-01-30,Tokyo
147,1979-03-30,Tokyo
148,1979-04-08,Tokyo
149,1979-05-07,Tokyo
150,1979-06-26,Tokyo
151,1979-06-27,Tokyo
152,1979-06-29,Tokyo
153,1979-07-02,Tokyo
154,1979-08-03,Tokyo
155,1979-08-06,Tokyo
156,1979-08-18,Tokyo
157,1979-08-19,Tokyo
158,1979-08-27,Tokyo
