,time,location_name
0,1973-03-17,Toronto
1,1973-03-18,Toronto
2,1973-05-08,Toronto
3,1973-06-11,Toronto
4,1973-07-03,Toronto
5,1973-07-08,Toronto
6,1973-07-25,Toronto
7,1973-07-31,Toronto
8,1973-08-01,Toronto
9,1973-08-09,Toronto
10,1973-08-10,Toronto
11,1973-08-18,Toronto
12,1973-08-27,Toronto
13,1973-08-28,Toronto
14,1973-08-29,Toronto
15,1973-08-30,Toronto
16,1973-08-31,Toronto
17,1973-09-01,Toronto
18,1973-09-02,Toronto
19,1973-09-03,Toronto
20,1973-09-04,Toronto
21,1973-09-05,Toronto
22,1973-10-29,Toronto
23,1973-10-30,Toronto
24,1973-11-01,Toronto
25,1974-01-31,Toronto
26,1974-04-04,Toronto
27,1974-05-12,Toronto
28,1974-07-03,Toronto
29,1974-07-09,Toronto
30,1974-07-14,Toronto
31,1974-07-23,Toronto
32,1974-09-29,Toronto
33,1974-10-01,Toronto
34,1974-11-20,Toronto
35,1975-04-03,Toronto
36,1975-04-04,Toronto
37,1975-04-19,Toronto
38,1975-07-18,Toronto
39,1975-07-24,Toronto
40,1975-07-31,Toronto
41,1975-08-01,Toronto
42,1975-08-02,Toronto
43,1975-08-03,Toronto
44,1975-08-04,Toronto
45,1975-08-13,Toronto
46,1975-08-25,Toronto
47,1975-10-20,Toronto
48,1975-11-10,Toronto
49,1975-11-27,Toronto
50,1975-12-01,Toronto
51,1976-01-18,Toronto
52,1976-01-22,Toronto
53,1976-01-23,Toronto
54,1976-01-24,Toronto
55,1976-01-26,Toronto
56,1976-02-02,Toronto
57,1976-02-15,Toronto
58,1976-03-02,Toronto
59,1976-03-27,Toronto
60,1976-04-25,Toronto
61,1976-07-06,Toronto
62,1976-07-29,Toronto
63,1976-07-31,Toronto
64,1976-08-28,Toronto
65,1976-10-20,Toronto
66,1976-12-14,Toronto
67,1977-01-10,Toronto
68,1977-01-17,Toronto
69,1977-01-18,Toronto
70,1977-01-28,Toronto
71,1977-01-29,Toronto
72,1977-03-30,Toronto
73,1977-04-23,Toronto
74,1977-07-06,Toronto
75,1977-07-15,Toronto
76,1977-07-16,Toronto
77,1977-07-19,Toronto
78,1977-07-20,Toronto
79,1977-07-21,Toronto
80,1977-08-10,Toronto
81,1977-08-28,Toronto
82,1977-09-24,Toronto
83,1977-09-25,Toronto
84,1977-09-26,Toronto
85,1977-10-01,Toronto
86,1977-10-08,Toronto
87,1977-11-07,Toronto
88,1977-11-10,Toronto
89,1977-12-06,Toronto
90,1977-12-25,Toronto
91,1978-01-09,Toronto
92,1978-01-10,Toronto
93,1978-01-26,Toronto
94,1978-02-02,Toronto
95,1978-05-13,Toronto
96,1978-05-14,Toronto
97,1978-07-08,Toronto
98,1978-07-23,Toronto
99,1978-07-27,Toronto
100,1978-08-16,Toronto
101,1978-09-12,Toronto
102,1978-12-03,Toronto
103,1979-01-19,Toronto
104,1979-01-25,Toronto
105,1979-02-09,Toronto
106,1979-02-10,Toronto
107,1979-02-11,Toronto
108,1979-02-12,Toronto
109,1979-02-13,Toronto
110,1979-02-14,Toronto
111,1979-02-15,Toronto
112,1979-02-16,Toronto
113,1979-02-17,Toronto
114,1979-02-18,Toronto
115,1979-04-06,Toronto
116,1979-05-15,Toronto
117,1979-05-25,Toronto
118,1979-05-29,Toronto
119,1979-07-13,Toronto
120,1979-07-26,Toronto
121,1979-08-02,Toronto
122,1979-08-10,Toronto
123,1979-08-29,Toronto
124,1979-09-14,Toronto
125,1979-11-26,Toronto
126,1980-01-12,Toronto
127,1980-02-29,Toronto
128,1980-03-01,Toronto
129,1980-03-02,Toronto
130,1980-03-21,Toronto
131,1980-03-22,Toronto
132,1980-06-08,Toronto
133,1980-06-20,Toronto
134,1980-07-16,Toronto
135,1980-07-21,Toronto
136,1980-07-22,Toronto
137,1980-07-27,Toronto
138,1980-07-28,Toronto
139,1980-08-08,Toronto
140,1980-09-01,Toronto
141,1980-10-16,Toronto
142,1980-10-25,Toronto
143,1980-12-03,Toronto
144,1980-12-25,Toronto
145,1981-01-03,Toronto
146,1981-01-04,Toronto
147,1981-01-08,Toronto
148,1981-01-11,Toronto
149,1981-01-12,Toronto
150,1981-02-04,Toronto
151,1981-02-05,Toronto
152,1981-02-11,Toronto
153,1981-02-12,Toronto
154,1981-04-04,Toronto
155,1981-05-11,Toronto
156,1981-05-28,Toronto
157,1981-06-16,Toronto
158,1981-06-22,Toronto
159,1981-07-05,Toronto
160,1981-07-08,Toronto
161,1981-07-09,Toronto
162,1981-07-13,Toronto
163,1981-07-20,Toronto
164,1981-07-28,Toronto
165,1981-08-15,Toronto
166,1981-09-03,Toronto
167,1981-09-04,Toronto
168,1981-09-05,Toronto
169,1981-10-07,Toronto
170,1981-10-18,Toronto
171,1981-10-26,Toronto
172,1981-10-27,Toronto
173,1982-01-10,Toronto
174,1982-01-11,Toronto
175,1982-01-12,Toronto
176,1982-01-17,Toronto
177,1982-01-18,Toronto
178,1982-01-22,Toronto
179,1982-01-23,Toronto
180,1982-01-25,Toronto
181,1982-01-26,Toronto
182,1982-01-31,Toronto
183,1982-02-01,Toronto
184,1982-02-05,Toronto
185,1982-02-09,Toronto
186,1982-04-03,Toronto
187,1982-06-19,Toronto
188,1982-07-07,Toronto
189,1982-07-17,Toronto
190,1982-07-18,Toronto
191,1982-08-25,Toronto
192,1982-09-14,Toronto
193,1982-10-20,Toronto
194,1982-11-12,Toronto
195,1982-11-21,Toronto
196,1983-05-02,Toronto
197,1983-07-04,Toronto
198,1983-07-12,Toronto
199,1983-07-15,Toronto
200,1983-07-16,Toronto
201,1983-07-18,Toronto
202,1983-07-20,Toronto
203,1983-07-28,Toronto
204,1983-07-29,Toronto
205,1983-07-30,Toronto
206,1983-07-31,Toronto
207,1983-08-04,Toronto
208,1983-08-05,Toronto
209,1983-08-07,Toronto
210,1983-08-08,Toronto
211,1983-08-11,Toronto
212,1983-08-20,Toronto
213,1983-08-22,Toronto
214,1983-08-27,Toronto
215,1983-08-28,Toronto
216,1983-09-05,Toronto
217,1983-09-06,Toronto
218,1983-09-10,Toronto
219,1983-09-16,Toronto
220,1983-09-20,Toronto
221,1983-09-21,Toronto
222,1983-10-12,Toronto
223,1983-10-14,Toronto
224,1983-10-23,Toronto
225,1983-11-11,Toronto
226,1983-11-16,Toronto
227,1983-12-06,Toronto
228,1983-12-12,Toronto
229,1983-12-24,Toronto
230,1983-12-25,Toronto
231,1984-01-12,Toronto
232,1984-01-20,Toronto
233,1984-01-21,Toronto
234,1984-01-22,Toronto
235,1984-02-01,Toronto
236,1984-02-28,Toronto
237,1984-03-08,Toronto
238,1984-03-12,Toronto
239,1984-04-06,Toronto
240,1984-04-30,Toronto
241,1984-05-08,Toronto
242,1984-06-17,Toronto
243,1984-07-15,Toronto
244,1984-07-23,Toronto
245,1984-08-02,Toronto
246,1984-08-03,Toronto
247,1984-08-09,Toronto
248,1984-08-10,Toronto
249,1984-08-13,Toronto
250,1984-08-16,Toronto
251,1984-09-02,Toronto
252,1984-09-11,Toronto
253,1984-10-10,Toronto
254,1984-11-01,Toronto
255,1984-11-02,Toronto
256,1984-12-29,Toronto
257,1985-01-01,Toronto
258,1985-02-08,Toronto
259,1985-02-12,Toronto
260,1985-03-04,Toronto
261,1985-03-12,Toronto
262,1985-03-31,Toronto
263,1985-04-06,Toronto
264,1985-04-18,Toronto
265,1985-07-14,Toronto
266,1985-07-25,Toronto
267,1985-08-24,Toronto
268,1985-09-06,Toronto
269,1985-09-07,Toronto
270,1985-09-08,Toronto
271,1985-10-24,Toronto
272,1985-11-03,Toronto
273,1985-11-04,Toronto
274,1985-11-20,Toronto
275,1985-12-02,Toronto
276,1985-12-09,Toronto
277,1986-01-14,Toronto
278,1986-01-28,Toronto
279,1986-02-07,Toronto
280,1986-03-08,Toronto
281,1986-05-20,Toronto
282,1986-07-06,Toronto
283,1986-07-18,Toronto
284,1986-07-26,Toronto
285,1986-08-07,Toronto
286,1986-08-21,Toronto
287,1986-08-27,Toronto
288,1986-09-11,Toronto
289,1986-09-12,Toronto
290,1986-09-20,Toronto
291,1986-09-30,Toronto
292,1986-10-03,Toronto
293,1986-10-13,Toronto
294,1986-12-18,Toronto
295,1987-01-24,Toronto
296,1987-02-08,Toronto
297,1987-02-15,Toronto
298,1987-02-16,Toronto
299,1987-04-04,Toronto
300,1987-04-05,Toronto
301,1987-07-09,Toronto
302,1987-07-10,Toronto
303,1987-07-11,Toronto
304,1987-07-12,Toronto
305,1987-07-13,Toronto
306,1987-07-20,Toronto
307,1987-07-22,Toronto
308,1987-07-23,Toronto
309,1987-07-24,Toronto
310,1987-07-25,Toronto
311,1987-08-14,Toronto
312,1987-08-15,Toronto
313,1987-08-16,Toronto
314,1987-08-17,Toronto
315,1987-09-22,Toronto
316,1987-10-02,Toronto
317,1987-11-25,Toronto
318,1987-12-15,Toronto
319,1988-02-07,Toronto
320,1988-03-23,Toronto
321,1988-06-15,Toronto
322,1988-06-20,Toronto
323,1988-06-22,Toronto
324,1988-06-25,Toronto
325,1988-07-06,Toronto
326,1988-07-07,Toronto
327,1988-07-08,Toronto
328,1988-07-09,Toronto
329,1988-07-10,Toronto
330,1988-07-14,Toronto
331,1988-07-16,Toronto
332,1988-07-17,Toronto
333,1988-07-29,Toronto
334,1988-07-30,Toronto
335,1988-08-02,Toronto
336,1988-08-03,Toronto
337,1988-08-04,Toronto
338,1988-08-05,Toronto
339,1988-08-06,Toronto
340,1988-08-09,Toronto
341,1988-08-10,Toronto
342,1988-08-12,Toronto
343,1988-08-13,Toronto
344,1988-08-14,Toronto
345,1988-08-15,Toronto
346,1988-08-17,Toronto
347,1988-09-04,Toronto
348,1988-09-20,Toronto
349,1988-10-18,Toronto
350,1988-11-05,Toronto
351,1988-11-10,Toronto
352,1989-01-04,Toronto
353,1989-01-08,Toronto
354,1989-03-07,Toronto
355,1989-05-07,Toronto
356,1989-05-26,Toronto
357,1989-06-23,Toronto
358,1989-07-10,Toronto
359,1989-07-23,Toronto
360,1989-07-25,Toronto
361,1989-07-26,Toronto
362,1989-08-03,Toronto
363,1989-08-04,Toronto
364,1989-08-05,Toronto
365,1989-09-23,Toronto
366,1989-10-03,Toronto
367,1989-11-06,Toronto
368,1989-11-14,Toronto
369,1989-11-15,Toronto
370,1989-11-16,Toronto
371,1989-12-21,Toronto
372,1989-12-22,Toronto
373,1989-12-23,Toronto
374,1990-01-26,Toronto
375,1990-02-15,Toronto
376,1990-02-26,Toronto
377,1990-05-16,Toronto
378,1990-05-17,Toronto
379,1990-07-04,Toronto
380,1990-07-05,Toronto
381,1990-08-13,Toronto
382,1990-08-28,Toronto
383,1990-09-06,Toronto
384,1990-09-14,Toronto
385,1990-10-04,Toronto
386,1990-10-18,Toronto
387,1990-12-03,Toronto
388,1990-12-04,Toronto
389,1991-01-11,Toronto
390,1991-02-16,Toronto
391,1991-03-04,Toronto
392,1991-03-28,Toronto
393,1991-06-19,Toronto
394,1991-06-28,Toronto
395,1991-07-07,Toronto
396,1991-07-18,Toronto
397,1991-07-19,Toronto
398,1991-07-20,Toronto
399,1991-07-21,Toronto
400,1991-07-23,Toronto
401,1991-08-03,Toronto
402,1991-08-17,Toronto
403,1991-08-28,Toronto
404,1991-08-29,Toronto
405,1991-08-30,Toronto
406,1991-09-10,Toronto
407,1991-09-15,Toronto
408,1991-09-16,Toronto
409,1991-10-12,Toronto
410,1991-12-03,Toronto
411,1992-01-14,Toronto
412,1992-01-15,Toronto
413,1992-01-16,Toronto
414,1992-03-12,Toronto
415,1992-07-17,Toronto
416,1992-08-08,Toronto
417,1992-08-28,Toronto
418,1992-09-10,Toronto
419,1992-09-22,Toronto
420,1992-10-15,Toronto
421,1992-11-02,Toronto
422,1992-11-03,Toronto
423,1992-11-13,Toronto
424,1992-11-17,Toronto
425,1992-12-11,Toronto
426,1992-12-30,Toronto
427,1993-01-04,Toronto
