,time,location_name
0,1973-04-17,Cape Town
1,1973-05-20,Cape Town
2,1973-07-07,Cape Town
3,1973-08-28,Cape Town
4,1973-10-05,Cape Town
5,1973-10-23,Cape Town
6,1973-11-02,Cape Town
7,1974-03-09,Cape Town
8,1974-05-09,Cape Town
9,1974-06-29,Cape Town
10,1974-07-10,Cape Town
11,1974-09-02,Cape Town
12,1974-09-07,Cape Town
13,1974-09-11,Cape Town
14,1974-11-07,Cape Town
15,1975-01-30,Cape Town
16,1975-01-31,Cape Town
17,1975-02-17,Cape Town
18,1975-05-06,Cape Town
19,1975-05-23,Cape Town
20,1975-06-09,Cape Town
21,1975-06-11,Cape Town
22,1975-06-15,Cape Town
23,1975-07-22,Cape Town
24,1975-08-14,Cape Town
25,1975-08-30,Cape Town
26,1975-09-11,Cape Town
27,1976-01-21,Cape Town
28,1976-04-14,Cape Town
29,1976-05-23,Cape Town
30,1976-06-19,Cape Town
31,1976-07-01,Cape Town
32,1976-07-18,Cape Town
33,1976-08-11,Cape Town
34,1976-09-15,Cape Town
35,1976-12-04,Cape Town
36,1977-04-11,Cape Town
37,1977-04-12,Cape Town
38,1977-06-18,Cape Town
39,1977-06-25,Cape Town
40,1977-11-30,Cape Town
41,1978-01-22,Cape Town
42,1978-01-23,Cape Town
43,1978-04-05,Cape Town
44,1978-04-26,Cape Town
45,1978-08-31,Cape Town
46,1978-09-02,Cape Town
47,1979-01-23,Cape Town
48,1979-06-11,Cape Town
49,1979-07-08,Cape Town
50,1979-07-19,Cape Town
51,1979-07-21,Cape Town
52,1979-09-01,Cape Town
53,1980-02-05,Cape Town
54,1980-06-20,Cape Town
55,1980-06-28,Cape Town
56,1980-07-25,Cape Town
57,1980-09-07,Cape Town
58,1980-11-26,Cape Town
59,1980-11-29,Cape Town
60,1981-01-07,Cape Town
61,1981-01-25,Cape Town
62,1981-02-02,Cape Town
63,1981-07-19,Cape Town
64,1981-08-07,Cape Town
65,1981-08-16,Cape Town
66,1981-08-27,Cape Town
67,1981-08-28,Cape Town
68,1981-08-31,Cape Town
69,1981-09-14,Cape Town
70,1981-09-15,Cape Town
71,1981-10-11,Cape Town
72,1981-11-16,Cape Town
73,1981-12-07,Cape Town
74,1982-04-06,Cape Town
75,1982-05-16,Cape Town
76,1982-06-14,Cape Town
77,1982-06-21,Cape Town
78,1982-07-15,Cape Town
79,1982-12-27,Cape Town
80,1983-03-07,Cape Town
81,1983-03-08,Cape Town
82,1983-03-12,Cape Town
83,1983-04-09,Cape Town
84,1983-04-11,Cape Town
85,1983-05-04,Cape Town
