,time,location_name
0,1973-07-19,Moscow
1,1973-11-25,Moscow
2,1973-12-09,Moscow
3,1974-01-11,Moscow
4,1974-04-07,Moscow
5,1974-04-25,Moscow
6,1974-08-15,Moscow
7,1974-10-22,Moscow
8,1974-11-29,Moscow
9,1974-11-30,Moscow
10,1975-03-08,Moscow
11,1975-03-19,Moscow
12,1975-04-02,Moscow
13,1975-11-25,Moscow
14,1976-01-14,Moscow
15,1976-04-03,Moscow
16,1976-04-08,Moscow
17,1976-07-19,Moscow
18,1976-08-16,Moscow
19,1976-12-16,Moscow
20,1977-01-09,Moscow
21,1977-08-05,Moscow
22,1978-04-25,Moscow
23,1978-08-07,Moscow
24,1978-10-02,Moscow
25,1978-11-22,Moscow
26,1978-11-23,Moscow
27,1978-11-29,Moscow
28,1978-12-29,Moscow
29,1978-12-30,Moscow
30,1978-12-31,Moscow
31,1979-01-01,Moscow
32,1979-01-02,Moscow
33,1979-03-14,Moscow
34,1979-03-15,Moscow
35,1979-03-29,Moscow
36,1979-04-08,Moscow
37,1979-04-17,Moscow
38,1979-04-23,Moscow
39,1979-08-31,Moscow
40,1979-11-01,Moscow
41,1979-12-22,Moscow
42,1979-12-23,Moscow
43,1980-01-09,Moscow
44,1980-01-29,Moscow
45,1980-04-06,Moscow
46,1980-04-19,Moscow
47,1980-05-20,Moscow
48,1980-06-29,Moscow
49,1980-07-07,Moscow
50,1980-10-07,Moscow
51,1980-10-30,Moscow
52,1980-12-08,Moscow
53,1981-02-02,Moscow
54,1981-04-26,Moscow
55,1981-06-27,Moscow
56,1981-06-29,Moscow
57,1981-07-21,Moscow
58,1981-07-22,Moscow
59,1981-07-28,Moscow
60,1981-07-29,Moscow
61,1981-07-30,Moscow
62,1981-09-16,Moscow
63,1981-11-15,Moscow
64,1981-12-13,Moscow
65,1981-12-14,Moscow
66,1981-12-15,Moscow
67,1981-12-25,Moscow
68,1982-01-07,Moscow
69,1982-01-08,Moscow
70,1982-01-09,Moscow
71,1982-01-10,Moscow
72,1982-04-17,Moscow
73,1982-04-18,Moscow
74,1982-05-12,Moscow
75,1982-07-07,Moscow
76,1982-11-05,Moscow
77,1982-12-16,Moscow
78,1983-02-15,Moscow
79,1983-03-24,Moscow
80,1983-04-13,Moscow
81,1983-04-14,Moscow
82,1983-09-29,Moscow
83,1983-10-10,Moscow
84,1983-10-27,Moscow
85,1983-11-12,Moscow
86,1983-11-13,Moscow
87,1983-11-29,Moscow
88,1984-02-07,Moscow
89,1984-02-08,Moscow
90,1984-06-09,Moscow
91,1984-07-29,Moscow
92,1984-09-06,Moscow
93,1984-10-31,Moscow
94,1985-01-14,Moscow
95,1985-02-12,Moscow
96,1985-04-06,Moscow
97,1985-05-21,Moscow
98,1985-05-22,Moscow
99,1985-08-09,Moscow
100,1985-09-07,Moscow
101,1985-09-20,Moscow
102,1985-12-01,Moscow
103,1985-12-20,Moscow
104,1985-12-31,Moscow
105,1986-08-31,Moscow
106,1986-09-16,Moscow
107,1986-09-28,Moscow
108,1986-12-03,Moscow
109,1986-12-08,Moscow
110,1987-01-02,Moscow
111,1987-01-04,Moscow
112,1987-01-08,Moscow
113,1987-01-09,Moscow
114,1987-01-12,Moscow
115,1987-01-13,Moscow
116,1987-01-25,Moscow
117,1987-01-28,Moscow
118,1987-01-29,Moscow
119,1987-01-30,Moscow
120,1987-03-01,Moscow
121,1987-03-04,Moscow
122,1987-03-28,Moscow
123,1987-03-31,Moscow
124,1987-04-15,Moscow
125,1987-04-21,Moscow
126,1987-04-25,Moscow
127,1987-05-24,Moscow
128,1987-08-07,Moscow
129,1987-08-08,Moscow
130,1987-10-20,Moscow
131,1987-11-17,Moscow
132,1988-01-20,Moscow
133,1988-02-16,Moscow
134,1988-03-25,Moscow
135,1988-03-26,Moscow
136,1988-04-12,Moscow
137,1988-04-14,Moscow
138,1988-04-29,Moscow
139,1988-06-07,Moscow
140,1988-08-04,Moscow
141,1988-10-28,Moscow
142,1989-01-02,Moscow
143,1989-03-09,Moscow
144,1989-03-26,Moscow
145,1989-03-31,Moscow
146,1989-08-03,Moscow
147,1989-08-22,Moscow
148,1989-11-20,Moscow
149,1990-02-23,Moscow
150,1990-03-21,Moscow
151,1990-03-22,Moscow
152,1990-03-30,Moscow
153,1990-04-01,Moscow
154,1990-04-10,Moscow
155,1990-04-11,Moscow
156,1990-05-25,Moscow
157,1990-08-12,Moscow
158,1990-09-18,Moscow
159,1990-11-09,Moscow
160,1991-01-11,Moscow
161,1991-01-30,Moscow
162,1991-02-08,Moscow
163,1991-04-02,Moscow
164,1991-06-29,Moscow
165,1991-11-11,Moscow
166,1992-01-19,Moscow
167,1992-03-02,Moscow
168,1992-03-16,Moscow
169,1992-04-09,Moscow
170,1992-04-25,Moscow
171,1992-07-15,Moscow
172,1993-01-24,Moscow
173,1993-03-12,Moscow
174,1993-07-24,Moscow
175,1993-10-15,Moscow
176,1993-11-05,Moscow
177,1994-02-23,Moscow
178,1994-05-03,Moscow
179,1994-11-06,Moscow
180,1994-11-15,Moscow
181,1994-12-15,Moscow
182,1995-02-07,Moscow
183,1995-04-07,Moscow
184,1995-05-14,Moscow
185,1995-05-31,Moscow
186,1995-06-03,Moscow
187,1995-07-23,Moscow
188,1995-10-01,Moscow
189,1995-11-17,Moscow
190,1995-11-27,Moscow
191,1996-01-17,Moscow
192,1996-01-18,Moscow
193,1996-04-06,Moscow
194,1996-07-10,Moscow
195,1996-07-11,Moscow
196,1996-07-12,Moscow
197,1997-03-07,Moscow
198,1997-04-23,Moscow
199,1997-07-03,Moscow
200,1997-09-27,Moscow
201,1997-09-28,Moscow
202,1997-10-07,Moscow
203,1997-12-10,Moscow
204,1998-02-21,Moscow
205,1998-03-30,Moscow
206,1998-05-28,Moscow
207,1998-06-15,Moscow
208,1998-07-18,Moscow
209,1998-09-15,Moscow
210,1998-10-02,Moscow
211,1998-10-28,Moscow
212,1998-10-29,Moscow
213,1999-03-26,Moscow
214,1999-05-13,Moscow
215,1999-05-30,Moscow
216,1999-05-31,Moscow
217,1999-06-11,Moscow
218,1999-06-26,Moscow
219,1999-07-03,Moscow
220,1999-07-07,Moscow
221,1999-07-08,Moscow
222,1999-07-12,Moscow
223,1999-10-20,Moscow
224,1999-12-02,Moscow
225,2000-05-01,Moscow
226,2000-05-13,Moscow
227,2000-06-10,Moscow
228,2000-07-17,Moscow
229,2000-07-24,Moscow
230,2000-12-05,Moscow
231,2001-02-16,Moscow
232,2001-03-16,Moscow
233,2001-05-02,Moscow
234,2001-05-30,Moscow
235,2001-07-22,Moscow
236,2001-08-11,Moscow
237,2001-09-21,Moscow
238,2001-10-18,Moscow
239,2001-12-08,Moscow
240,2002-03-14,Moscow
241,2002-04-01,Moscow
242,2002-04-05,Moscow
243,2002-05-22,Moscow
244,2002-07-23,Moscow
245,2002-11-21,Moscow
246,2002-12-23,Moscow
247,2003-02-05,Moscow
248,2003-04-09,Moscow
249,2003-08-28,Moscow
250,2003-08-31,Moscow
251,2003-10-07,Moscow
252,2003-11-26,Moscow
253,2004-04-01,Moscow
254,2004-04-02,Moscow
255,2004-04-04,Moscow
256,2004-08-07,Moscow
257,2004-11-10,Moscow
258,2005-01-09,Moscow
259,2005-01-27,Moscow
260,2005-01-28,Moscow
261,2005-03-21,Moscow
262,2005-04-12,Moscow
263,2005-04-22,Moscow
264,2005-05-24,Moscow
265,2005-06-06,Moscow
266,2005-07-26,Moscow
267,2005-08-09,Moscow
268,2005-09-25,Moscow
269,2006-01-05,Moscow
270,2006-01-20,Moscow
271,2006-01-21,Moscow
272,2006-01-22,Moscow
273,2006-02-17,Moscow
274,2006-04-08,Moscow
275,2006-04-09,Moscow
276,2006-06-23,Moscow
277,2006-06-24,Moscow
278,2006-06-25,Moscow
279,2006-07-13,Moscow
280,2006-07-15,Moscow
281,2006-09-02,Moscow
282,2006-10-21,Moscow
