,time,location_name
0,1973-05-22,Reykjavik
1,1973-06-19,Reykjavik
2,1973-09-12,Reykjavik
3,1973-09-24,Reykjavik
4,1973-11-02,Reykjavik
5,1973-11-06,Reykjavik
6,1973-11-26,Reykjavik
7,1973-12-14,Reykjavik
8,1973-12-18,Reykjavik
9,1974-01-22,Reykjavik
10,1974-06-22,Reykjavik
11,1974-08-11,Reykjavik
12,1974-10-23,Reykjavik
13,1974-10-24,Reykjavik
14,1974-12-20,Reykjavik
15,1975-01-05,Reykjavik
16,1975-04-29,Reykjavik
17,1975-05-21,Reykjavik
18,1975-06-04,Reykjavik
19,1975-08-04,Reykjavik
20,1975-08-06,Reykjavik
21,1976-01-22,Reykjavik
22,1976-04-03,Reykjavik
23,1976-07-09,Reykjavik
24,1976-07-13,Reykjavik
25,1976-07-23,Reykjavik
26,1976-08-14,Reykjavik
27,1976-09-20,Reykjavik
28,1977-06-09,Reykjavik
29,1977-08-08,Reykjavik
30,1977-08-13,Reykjavik
31,1977-08-14,Reykjavik
32,1977-12-19,Reykjavik
33,1978-02-28,Reykjavik
34,1978-04-14,Reykjavik
35,1978-04-29,Reykjavik
36,1978-06-06,Reykjavik
37,1978-11-28,Reykjavik
38,1978-12-22,Reykjavik
39,1978-12-28,Reykjavik
40,1979-01-13,Reykjavik
41,1979-02-20,Reykjavik
42,1980-02-04,Reykjavik
43,1980-07-30,Reykjavik
44,1980-07-31,Reykjavik
45,1980-10-28,Reykjavik
46,1980-12-04,Reykjavik
47,1981-01-21,Reykjavik
48,1981-02-16,Reykjavik
49,1981-02-17,Reykjavik
50,1981-03-06,Reykjavik
51,1981-08-23,Reykjavik
52,1981-08-25,Reykjavik
53,1981-09-11,Reykjavik
54,1981-12-08,Reykjavik
55,1981-12-09,Reykjavik
56,1982-01-05,Reykjavik
57,1982-01-08,Reykjavik
58,1982-01-14,Reykjavik
59,1982-01-22,Reykjavik
60,1982-06-30,Reykjavik
61,1982-07-03,Reykjavik
62,1982-09-24,Reykjavik
63,1982-10-10,Reykjavik
64,1982-10-17,Reykjavik
65,1982-12-12,Reykjavik
66,1983-01-27,Reykjavik
67,1983-02-09,Reykjavik
68,1983-06-09,Reykjavik
69,1983-11-25,Reykjavik
70,1983-12-19,Reykjavik
71,1984-01-04,Reykjavik
72,1984-01-18,Reykjavik
73,1984-01-22,Reykjavik
74,1984-03-23,Reykjavik
75,1984-05-23,Reykjavik
76,1984-05-31,Reykjavik
77,1984-10-10,Reykjavik
78,1984-10-18,Reykjavik
79,1984-12-08,Reykjavik
80,1985-01-02,Reykjavik
81,1985-02-14,Reykjavik
82,1985-04-03,Reykjavik
83,1985-04-04,Reykjavik
84,1985-04-07,Reykjavik
85,1985-06-23,Reykjavik
86,1985-08-13,Reykjavik
87,1985-10-06,Reykjavik
88,1985-11-15,Reykjavik
89,1986-04-18,Reykjavik
90,1986-07-26,Reykjavik
91,1986-09-09,Reykjavik
92,1986-09-25,Reykjavik
93,1987-03-17,Reykjavik
94,1987-03-18,Reykjavik
95,1987-04-18,Reykjavik
96,1987-08-02,Reykjavik
97,1987-08-07,Reykjavik
98,1987-11-16,Reykjavik
99,1987-12-07,Reykjavik
100,1988-01-20,Reykjavik
101,1988-01-28,Reykjavik
102,1988-02-26,Reykjavik
103,1988-05-11,Reykjavik
104,1988-05-23,Reykjavik
105,1988-07-24,Reykjavik
106,1988-07-25,Reykjavik
107,1988-08-09,Reykjavik
108,1988-10-15,Reykjavik
109,1989-02-05,Reykjavik
110,1989-02-14,Reykjavik
111,1989-03-31,Reykjavik
112,1989-04-19,Reykjavik
113,1989-05-16,Reykjavik
114,1989-06-11,Reykjavik
115,1989-07-10,Reykjavik
116,1989-09-22,Reykjavik
117,1990-05-25,Reykjavik
118,1990-07-14,Reykjavik
119,1990-07-27,Reykjavik
120,1991-01-13,Reykjavik
121,1991-03-13,Reykjavik
122,1991-07-06,Reykjavik
123,1991-07-08,Reykjavik
124,1991-07-09,Reykjavik
125,1991-07-12,Reykjavik
126,1991-07-21,Reykjavik
127,1991-07-31,Reykjavik
128,1991-08-01,Reykjavik
129,1991-08-02,Reykjavik
130,1991-10-04,Reykjavik
131,1991-11-15,Reykjavik
132,1991-11-18,Reykjavik
133,1992-03-08,Reykjavik
134,1992-04-25,Reykjavik
135,1992-06-09,Reykjavik
136,1992-07-16,Reykjavik
137,1992-07-19,Reykjavik
138,1992-09-29,Reykjavik
139,1992-11-14,Reykjavik
140,1992-12-14,Reykjavik
141,1993-01-11,Reykjavik
142,1993-01-16,Reykjavik
143,1993-02-16,Reykjavik
144,1993-04-18,Reykjavik
145,1993-05-08,Reykjavik
146,1993-05-19,Reykjavik
147,1993-07-29,Reykjavik
148,1993-08-13,Reykjavik
149,1993-09-14,Reykjavik
150,1994-06-03,Reykjavik
151,1994-07-06,Reykjavik
152,1994-09-01,Reykjavik
153,1994-10-30,Reykjavik
154,1994-12-28,Reykjavik
155,1995-07-03,Reykjavik
156,1995-07-11,Reykjavik
157,1995-08-11,Reykjavik
158,1995-09-10,Reykjavik
159,1995-10-07,Reykjavik
160,1996-11-26,Reykjavik
161,1997-02-28,Reykjavik
162,1997-03-09,Reykjavik
163,1997-05-09,Reykjavik
164,1997-06-08,Reykjavik
165,1997-07-11,Reykjavik
166,1997-07-29,Reykjavik
167,1997-08-12,Reykjavik
168,1997-08-13,Reykjavik
169,1997-09-02,Reykjavik
170,1997-09-29,Reykjavik
171,1997-11-06,Reykjavik
172,1998-08-10,Reykjavik
173,1998-08-29,Reykjavik
174,1998-08-31,Reykjavik
175,1998-09-26,Reykjavik
176,1998-10-01,Reykjavik
177,1999-01-16,Reykjavik
178,1999-03-08,Reykjavik
179,1999-05-26,Reykjavik
180,1999-06-30,Reykjavik
181,1999-07-08,Reykjavik
182,1999-07-31,Reykjavik
183,1999-08-05,Reykjavik
184,1999-09-11,Reykjavik
185,1999-09-25,Reykjavik
186,1999-10-19,Reykjavik
187,1999-11-08,Reykjavik
188,2000-01-21,Reykjavik
189,2000-02-11,Reykjavik
190,2000-03-23,Reykjavik
191,2000-04-14,Reykjavik
192,2000-06-05,Reykjavik
193,2000-07-23,Reykjavik
194,2000-07-24,Reykjavik
195,2000-09-23,Reykjavik
196,2000-09-24,Reykjavik
197,2000-10-01,Reykjavik
198,2000-12-15,Reykjavik
