,time,location_name
0,1973-03-20,Rio de Janeiro
1,1973-04-27,Rio de Janeiro
2,1973-06-01,Rio de Janeiro
3,1973-07-23,Rio de Janeiro
4,1973-09-19,Rio de Janeiro
5,1974-04-11,Rio de Janeiro
6,1974-07-02,Rio de Janeiro
7,1974-08-06,Rio de Janeiro
8,1974-08-18,Rio de Janeiro
9,1974-11-20,Rio de Janeiro
10,1974-12-12,Rio de Janeiro
11,1974-12-23,Rio de Janeiro
12,1975-01-02,Rio de Janeiro
13,1975-01-16,Rio de Janeiro
14,1975-06-08,Rio de Janeiro
15,1975-06-29,Rio de Janeiro
16,1975-07-06,Rio de Janeiro
17,1975-07-18,Rio de Janeiro
18,1975-07-19,Rio de Janeiro
19,1975-07-21,Rio de Janeiro
20,1975-08-26,Rio de Janeiro
21,1976-01-26,Rio de Janeiro
22,1976-05-07,Rio de Janeiro
23,1976-05-19,Rio de Janeiro
24,1976-07-02,Rio de Janeiro
25,1976-08-15,Rio de Janeiro
26,1976-09-28,Rio de Janeiro
27,1976-10-01,Rio de Janeiro
28,1976-11-06,Rio de Janeiro
29,1976-12-26,Rio de Janeiro
30,1977-01-28,Rio de Janeiro
31,1977-05-17,Rio de Janeiro
32,1977-06-14,Rio de Janeiro
33,1977-08-18,Rio de Janeiro
34,1977-09-06,Rio de Janeiro
35,1978-03-06,Rio de Janeiro
36,1978-06-06,Rio de Janeiro
37,1978-08-15,Rio de Janeiro
38,1978-08-16,Rio de Janeiro
39,1978-11-05,Rio de Janeiro
40,1978-11-27,Rio de Janeiro
41,1979-05-31,Rio de Janeiro
42,1979-06-01,Rio de Janeiro
43,1979-06-21,Rio de Janeiro
44,1979-08-26,Rio de Janeiro
45,1979-09-10,Rio de Janeiro
46,1979-10-30,Rio de Janeiro
47,1980-04-11,Rio de Janeiro
48,1980-04-12,Rio de Janeiro
49,1980-07-16,Rio de Janeiro
50,1980-09-28,Rio de Janeiro
51,1981-03-05,Rio de Janeiro
52,1981-06-19,Rio de Janeiro
53,1981-07-23,Rio de Janeiro
54,1981-07-27,Rio de Janeiro
55,1981-08-22,Rio de Janeiro
56,1981-09-04,Rio de Janeiro
57,1981-09-05,Rio de Janeiro
58,1981-10-21,Rio de Janeiro
59,1982-01-12,Rio de Janeiro
60,1982-02-27,Rio de Janeiro
61,1982-06-21,Rio de Janeiro
62,1982-09-08,Rio de Janeiro
63,1982-09-19,Rio de Janeiro
64,1983-02-17,Rio de Janeiro
65,1983-02-26,Rio de Janeiro
66,1983-06-16,Rio de Janeiro
67,1983-06-30,Rio de Janeiro
68,1983-07-03,Rio de Janeiro
69,1983-07-20,Rio de Janeiro
70,1983-07-21,Rio de Janeiro
71,1983-08-02,Rio de Janeiro
72,1983-08-03,Rio de Janeiro
73,1983-08-06,Rio de Janeiro
74,1983-08-09,Rio de Janeiro
75,1983-08-16,Rio de Janeiro
76,1983-09-03,Rio de Janeiro
77,1983-09-09,Rio de Janeiro
78,1983-09-26,Rio de Janeiro
79,1984-01-12,Rio de Janeiro
80,1984-01-13,Rio de Janeiro
81,1984-01-14,Rio de Janeiro
82,1984-01-16,Rio de Janeiro
83,1984-05-11,Rio de Janeiro
84,1984-05-25,Rio de Janeiro
85,1984-07-22,Rio de Janeiro
86,1984-08-07,Rio de Janeiro
