,time,location_name
0,1973-04-29,Sydney
1,1973-06-08,Sydney
2,1973-06-09,Sydney
3,1973-06-15,Sydney
4,1973-10-12,Sydney
5,1973-11-20,Sydney
6,1974-04-07,Sydney
7,1974-04-08,Sydney
8,1974-05-07,Sydney
9,1974-05-12,Sydney
10,1974-05-25,Sydney
11,1974-06-09,Sydney
12,1974-06-24,Sydney
13,1974-06-25,Sydney
14,1974-08-06,Sydney
15,1974-08-07,Sydney
16,1974-08-27,Sydney
17,1974-09-26,Sydney
18,1974-10-03,Sydney
19,1974-10-30,Sydney
20,1975-01-25,Sydney
21,1975-02-08,Sydney
22,1975-02-09,Sydney
23,1975-04-18,Sydney
24,1975-04-19,Sydney
25,1975-06-12,Sydney
26,1975-06-20,Sydney
27,1975-07-01,Sydney
28,1975-07-03,Sydney
29,1975-10-25,Sydney
30,1976-01-20,Sydney
31,1976-02-26,Sydney
32,1976-03-18,Sydney
33,1976-06-30,Sydney
34,1976-07-13,Sydney
35,1976-07-15,Sydney
36,1976-07-27,Sydney
37,1976-07-28,Sydney
38,1976-07-29,Sydney
39,1976-10-03,Sydney
40,1976-10-07,Sydney
41,1976-12-03,Sydney
42,1977-02-03,Sydney
43,1977-02-22,Sydney
44,1977-03-03,Sydney
45,1977-03-30,Sydney
46,1977-05-31,Sydney
47,1977-06-01,Sydney
48,1977-06-23,Sydney
49,1977-06-28,Sydney
50,1977-07-01,Sydney
51,1977-07-15,Sydney
52,1977-09-05,Sydney
53,1977-10-17,Sydney
54,1977-11-10,Sydney
55,1978-02-20,Sydney
56,1978-03-18,Sydney
57,1978-03-19,Sydney
58,1978-06-01,Sydney
59,1978-06-11,Sydney
60,1978-06-15,Sydney
61,1978-06-30,Sydney
62,1978-07-07,Sydney
63,1978-07-08,Sydney
64,1978-07-10,Sydney
65,1978-07-11,Sydney
66,1978-07-15,Sydney
67,1978-08-17,Sydney
68,1978-10-13,Sydney
69,1978-10-31,Sydney
70,1979-01-21,Sydney
71,1979-03-03,Sydney
72,1979-06-06,Sydney
73,1979-07-14,Sydney
74,1979-11-24,Sydney
75,1979-12-05,Sydney
76,1980-01-23,Sydney
77,1980-02-29,Sydney
78,1980-03-15,Sydney
79,1980-06-17,Sydney
80,1980-07-04,Sydney
81,1980-07-11,Sydney
82,1980-07-12,Sydney
83,1980-08-31,Sydney
84,1980-09-09,Sydney
85,1980-09-15,Sydney
86,1980-09-18,Sydney
87,1980-10-27,Sydney
88,1981-01-30,Sydney
89,1981-03-08,Sydney
90,1981-06-01,Sydney
91,1981-06-24,Sydney
92,1981-07-04,Sydney
93,1981-07-29,Sydney
94,1981-08-21,Sydney
95,1981-09-26,Sydney
96,1981-09-27,Sydney
97,1981-10-02,Sydney
98,1981-10-03,Sydney
99,1981-12-03,Sydney
100,1981-12-07,Sydney
101,1982-03-24,Sydney
102,1982-07-20,Sydney
103,1982-10-30,Sydney
104,1982-11-25,Sydney
105,1982-12-16,Sydney
106,1983-02-17,Sydney
107,1983-03-09,Sydney
108,1983-03-21,Sydney
109,1983-06-26,Sydney
110,1983-06-27,Sydney
111,1983-06-28,Sydney
112,1983-07-08,Sydney
113,1983-07-09,Sydney
114,1983-07-20,Sydney
115,1983-07-21,Sydney
116,1983-08-03,Sydney
117,1984-01-29,Sydney
118,1984-04-15,Sydney
119,1984-07-03,Sydney
120,1984-07-04,Sydney
121,1984-07-06,Sydney
122,1984-08-25,Sydney
123,1985-03-02,Sydney
124,1985-05-20,Sydney
125,1985-07-16,Sydney
126,1985-07-23,Sydney
127,1985-07-30,Sydney
128,1985-11-08,Sydney
129,1985-11-09,Sydney
130,1985-11-17,Sydney
131,1985-12-11,Sydney
132,1986-01-11,Sydney
133,1986-01-16,Sydney
134,1986-03-11,Sydney
135,1986-05-06,Sydney
136,1986-05-07,Sydney
137,1986-07-09,Sydney
138,1986-07-26,Sydney
139,1986-08-05,Sydney
140,1986-08-06,Sydney
141,1986-10-03,Sydney
142,1986-10-14,Sydney
143,1986-11-23,Sydney
144,1986-12-07,Sydney
145,1987-05-12,Sydney
146,1987-07-22,Sydney
147,1987-07-28,Sydney
148,1987-09-06,Sydney
149,1988-04-07,Sydney
150,1988-07-05,Sydney
151,1988-08-06,Sydney
152,1988-08-08,Sydney
153,1988-10-03,Sydney
154,1988-10-22,Sydney
155,1988-10-29,Sydney
156,1988-11-15,Sydney
157,1988-12-10,Sydney
158,1988-12-14,Sydney
159,1989-03-09,Sydney
160,1989-03-10,Sydney
161,1989-03-19,Sydney
162,1989-04-10,Sydney
163,1989-04-16,Sydney
164,1989-05-14,Sydney
165,1989-06-03,Sydney
166,1989-06-29,Sydney
167,1989-07-16,Sydney
168,1989-07-18,Sydney
169,1989-07-22,Sydney
170,1989-07-23,Sydney
171,1989-10-30,Sydney
172,1989-12-26,Sydney
173,1990-02-02,Sydney
174,1990-02-09,Sydney
175,1990-03-06,Sydney
176,1990-03-07,Sydney
177,1990-04-09,Sydney
178,1990-04-19,Sydney
179,1990-05-06,Sydney
180,1990-05-31,Sydney
181,1990-06-28,Sydney
182,1990-07-03,Sydney
183,1990-07-06,Sydney
184,1990-07-15,Sydney
185,1990-07-27,Sydney
186,1990-08-02,Sydney
187,1990-08-03,Sydney
188,1990-09-03,Sydney
189,1990-12-23,Sydney
190,1991-01-01,Sydney
191,1991-05-26,Sydney
192,1991-06-10,Sydney
193,1991-06-19,Sydney
194,1991-07-22,Sydney
195,1991-08-06,Sydney
196,1991-08-08,Sydney
197,1991-10-25,Sydney
198,1991-12-04,Sydney
199,1992-01-03,Sydney
200,1992-04-16,Sydney
201,1992-05-09,Sydney
202,1992-09-03,Sydney
203,1992-10-20,Sydney
204,1993-01-21,Sydney
205,1993-01-25,Sydney
206,1993-03-28,Sydney
207,1993-04-13,Sydney
208,1993-04-17,Sydney
209,1993-05-09,Sydney
210,1993-06-01,Sydney
211,1993-06-12,Sydney
212,1993-07-06,Sydney
213,1993-07-13,Sydney
214,1994-01-20,Sydney
215,1994-06-06,Sydney
216,1994-07-24,Sydney
217,1994-07-31,Sydney
218,1994-10-07,Sydney
219,1994-10-08,Sydney
220,1994-11-01,Sydney
221,1994-11-05,Sydney
222,1994-11-06,Sydney
223,1994-11-07,Sydney
