,time,location_name
0,1973-04-15,Tokyo
1,1973-08-09,Tokyo
2,1973-08-12,Tokyo
3,1973-08-18,Tokyo
4,1973-08-19,Tokyo
5,1974-04-08,Tokyo
6,1974-07-01,Tokyo
7,1974-07-02,Tokyo
8,1974-07-15,Tokyo
9,1974-07-19,Tokyo
10,1974-09-26,Tokyo
11,1974-10-26,Tokyo
12,1975-02-05,Tokyo
13,1975-07-31,Tokyo
14,1975-08-06,Tokyo
15,1976-03-26,Tokyo
16,1976-07-16,Tokyo
17,1976-10-18,Tokyo
18,1977-01-23,Tokyo
19,1977-01-26,Tokyo
20,1977-02-09,Tokyo
21,1977-03-05,Tokyo
22,1977-08-05,Tokyo
23,1978-01-04,Tokyo
24,1978-01-20,Tokyo
25,1978-02-03,Tokyo
26,1978-07-01,Tokyo
27,1978-08-02,Tokyo
28,1978-08-06,Tokyo
29,1978-08-09,Tokyo
30,1978-08-12,Tokyo
31,1978-08-13,Tokyo
32,1978-08-14,Tokyo
33,1978-08-15,Tokyo
34,1978-08-16,Tokyo
35,1978-08-19,Tokyo
36,1978-08-21,Tokyo
37,1978-08-22,Tokyo
38,1978-08-23,Tokyo
39,1978-08-24,Tokyo
40,1978-08-29,Tokyo
41,1978-09-10,Tokyo
42,1978-12-20,Tokyo
43,1979-01-14,Tokyo
44,1979-05-23,Tokyo
45,1979-08-03,Tokyo
46,1979-08-04,Tokyo
47,1979-08-29,Tokyo
48,1979-10-19,Tokyo
49,1980-01-12,Tokyo
50,1980-03-05,Tokyo
51,1980-03-24,Tokyo
52,1980-08-20,Tokyo
53,1980-09-01,Tokyo
54,1980-12-24,Tokyo
55,1981-01-09,Tokyo
56,1981-02-16,Tokyo
57,1981-02-26,Tokyo
58,1981-06-13,Tokyo
59,1981-10-22,Tokyo
60,1982-01-25,Tokyo
61,1982-01-29,Tokyo
62,1982-03-24,Tokyo
63,1982-11-07,Tokyo
64,1983-08-19,Tokyo
65,1983-12-24,Tokyo
66,1984-01-16,Tokyo
67,1984-01-20,Tokyo
68,1984-02-04,Tokyo
69,1984-02-05,Tokyo
70,1984-02-07,Tokyo
71,1984-02-08,Tokyo
72,1984-02-09,Tokyo
73,1984-02-18,Tokyo
74,1984-02-19,Tokyo
75,1984-02-20,Tokyo
76,1984-02-25,Tokyo
77,1984-04-16,Tokyo
78,1984-08-16,Tokyo
79,1984-08-18,Tokyo
80,1984-08-22,Tokyo
81,1984-09-02,Tokyo
82,1984-09-03,Tokyo
83,1984-09-04,Tokyo
84,1985-01-30,Tokyo
85,1985-02-09,Tokyo
86,1985-06-25,Tokyo
87,1985-07-14,Tokyo
88,1985-07-30,Tokyo
89,1985-08-29,Tokyo
90,1985-12-04,Tokyo
91,1985-12-22,Tokyo
92,1986-02-16,Tokyo
93,1986-02-19,Tokyo
94,1986-02-20,Tokyo
95,1986-02-22,Tokyo
96,1986-06-29,Tokyo
97,1986-08-04,Tokyo
98,1986-09-30,Tokyo
99,1986-12-28,Tokyo
100,1987-01-30,Tokyo
101,1987-07-24,Tokyo
102,1987-07-29,Tokyo
103,1988-03-15,Tokyo
104,1988-05-16,Tokyo
105,1989-01-07,Tokyo
106,1989-02-17,Tokyo
107,1989-03-14,Tokyo
108,1989-04-28,Tokyo
109,1989-08-01,Tokyo
110,1989-09-25,Tokyo
111,1989-11-04,Tokyo
112,1990-01-17,Tokyo
113,1990-01-20,Tokyo
114,1990-01-26,Tokyo
115,1990-02-02,Tokyo
116,1990-02-03,Tokyo
117,1990-07-19,Tokyo
118,1990-07-27,Tokyo
119,1990-08-02,Tokyo
120,1990-08-03,Tokyo
121,1990-08-05,Tokyo
122,1990-08-06,Tokyo
123,1990-08-07,Tokyo
124,1990-08-08,Tokyo
125,1990-08-23,Tokyo
126,1990-08-24,Tokyo
127,1990-09-04,Tokyo
128,1990-09-30,Tokyo
129,1991-08-02,Tokyo
130,1991-09-27,Tokyo
131,1991-10-11,Tokyo
132,1992-03-16,Tokyo
133,1992-07-13,Tokyo
134,1992-07-31,Tokyo
135,1992-09-03,Tokyo
136,1992-09-04,Tokyo
137,1992-12-27,Tokyo
138,1993-01-02,Tokyo
139,1993-03-29,Tokyo
140,1993-05-26,Tokyo
141,1993-06-30,Tokyo
142,1993-08-11,Tokyo
143,1993-11-13,Tokyo
144,1994-01-30,Tokyo
145,1994-02-12,Tokyo
146,1994-02-13,Tokyo
147,1994-06-23,Tokyo
148,1994-07-05,Tokyo
149,1994-07-15,Tokyo
150,1994-07-28,Tokyo
151,1994-07-31,Tokyo
152,1994-08-01,Tokyo
153,1994-08-02,Tokyo
154,1994-08-03,Tokyo
155,1994-08-04,Tokyo
156,1994-08-05,Tokyo
157,1994-08-07,Tokyo
158,1994-08-08,Tokyo
159,1994-08-09,Tokyo
160,1994-08-10,Tokyo
161,1994-08-14,Tokyo
162,1994-08-15,Tokyo
163,1994-08-16,Tokyo
164,1994-08-17,Tokyo
165,1994-08-21,Tokyo
166,1995-01-23,Tokyo
167,1995-06-01,Tokyo
168,1995-07-05,Tokyo
169,1995-07-07,Tokyo
170,1995-07-09,Tokyo
171,1995-07-12,Tokyo
172,1995-07-25,Tokyo
173,1995-08-04,Tokyo
174,1995-08-08,Tokyo
175,1995-08-09,Tokyo
176,1995-08-10,Tokyo
177,1995-08-15,Tokyo
178,1995-08-17,Tokyo
179,1995-08-20,Tokyo
180,1995-08-21,Tokyo
181,1995-08-24,Tokyo
182,1995-08-27,Tokyo
183,1995-08-28,Tokyo
184,1995-12-25,Tokyo
185,1995-12-26,Tokyo
186,1996-02-09,Tokyo
187,1996-02-15,Tokyo
188,1996-02-19,Tokyo
