,time,location_name
0,1973-03-17,Toronto
1,1973-04-03,Toronto
2,1973-08-26,Toronto
3,1973-08-27,Toronto
4,1973-08-28,Toronto
5,1973-08-29,Toronto
6,1973-09-02,Toronto
7,1973-09-03,Toronto
8,1973-12-17,Toronto
9,1973-12-20,Toronto
10,1974-01-20,Toronto
11,1974-04-05,Toronto
12,1974-07-03,Toronto
13,1974-11-12,Toronto
14,1974-12-21,Toronto
15,1975-02-24,Toronto
16,1975-03-24,Toronto
17,1975-04-03,Toronto
18,1975-04-04,Toronto
19,1975-07-31,Toronto
20,1975-08-01,Toronto
21,1975-08-02,Toronto
22,1975-09-16,Toronto
23,1975-12-28,Toronto
24,1976-01-23,Toronto
25,1976-02-16,Toronto
26,1976-02-21,Toronto
27,1976-03-03,Toronto
28,1976-03-19,Toronto
29,1976-03-28,Toronto
30,1976-04-11,Toronto
31,1976-12-14,Toronto
32,1976-12-16,Toronto
33,1977-01-10,Toronto
34,1977-01-29,Toronto
35,1977-03-25,Toronto
36,1977-03-26,Toronto
37,1977-07-20,Toronto
38,1977-09-25,Toronto
39,1977-09-26,Toronto
40,1977-12-02,Toronto
41,1978-01-10,Toronto
42,1978-01-26,Toronto
43,1978-01-27,Toronto
44,1978-02-02,Toronto
45,1979-01-04,Toronto
46,1979-02-10,Toronto
47,1979-02-11,Toronto
48,1979-02-12,Toronto
49,1979-02-13,Toronto
50,1979-02-14,Toronto
51,1979-02-15,Toronto
52,1979-02-17,Toronto
53,1979-02-18,Toronto
54,1979-03-01,Toronto
55,1979-04-06,Toronto
56,1979-12-05,Toronto
57,1980-01-27,Toronto
58,1980-02-23,Toronto
59,1980-03-01,Toronto
60,1980-03-21,Toronto
61,1980-03-22,Toronto
62,1980-07-21,Toronto
63,1980-09-01,Toronto
64,1980-12-03,Toronto
65,1980-12-19,Toronto
66,1980-12-27,Toronto
67,1981-01-03,Toronto
68,1981-01-04,Toronto
69,1981-01-11,Toronto
70,1981-01-13,Toronto
71,1981-01-21,Toronto
72,1981-03-07,Toronto
73,1981-03-15,Toronto
74,1981-04-06,Toronto
75,1981-07-09,Toronto
76,1981-08-27,Toronto
77,1981-10-21,Toronto
78,1981-11-06,Toronto
79,1982-01-05,Toronto
80,1982-01-10,Toronto
81,1982-01-11,Toronto
82,1982-01-17,Toronto
83,1982-02-13,Toronto
84,1982-04-04,Toronto
85,1982-07-07,Toronto
86,1982-07-12,Toronto
87,1982-07-22,Toronto
88,1982-09-03,Toronto
89,1982-11-04,Toronto
90,1982-11-12,Toronto
91,1982-12-29,Toronto
92,1983-04-06,Toronto
93,1983-06-26,Toronto
94,1983-07-12,Toronto
95,1983-07-14,Toronto
96,1983-07-15,Toronto
97,1983-07-16,Toronto
98,1983-12-01,Toronto
99,1983-12-26,Toronto
100,1984-01-21,Toronto
101,1984-02-01,Toronto
102,1984-02-29,Toronto
103,1984-03-15,Toronto
104,1984-03-25,Toronto
105,1984-03-26,Toronto
106,1984-10-10,Toronto
107,1984-10-11,Toronto
108,1984-11-12,Toronto
109,1984-12-10,Toronto
110,1985-03-04,Toronto
111,1985-03-21,Toronto
112,1985-03-22,Toronto
113,1985-04-01,Toronto
114,1985-04-06,Toronto
115,1985-04-07,Toronto
116,1985-06-01,Toronto
117,1985-07-25,Toronto
118,1986-01-20,Toronto
119,1986-01-28,Toronto
120,1986-02-01,Toronto
121,1986-02-07,Toronto
122,1986-02-18,Toronto
123,1986-02-19,Toronto
124,1986-03-13,Toronto
125,1986-09-12,Toronto
126,1986-12-06,Toronto
127,1986-12-12,Toronto
128,1986-12-27,Toronto
129,1987-02-19,Toronto
130,1987-02-24,Toronto
131,1987-06-19,Toronto
132,1987-07-09,Toronto
133,1987-08-16,Toronto
134,1987-11-12,Toronto
135,1987-12-01,Toronto
136,1988-01-05,Toronto
137,1988-01-15,Toronto
138,1988-02-06,Toronto
139,1988-02-22,Toronto
140,1988-02-24,Toronto
141,1988-04-25,Toronto
142,1988-06-22,Toronto
143,1988-07-08,Toronto
144,1988-07-17,Toronto
145,1988-08-03,Toronto
146,1988-08-04,Toronto
147,1988-08-14,Toronto
148,1988-08-15,Toronto
149,1988-08-17,Toronto
150,1988-10-18,Toronto
151,1988-11-10,Toronto
152,1989-01-08,Toronto
153,1989-02-08,Toronto
154,1989-02-09,Toronto
155,1989-08-03,Toronto
156,1989-08-04,Toronto
157,1989-11-19,Toronto
158,1989-12-21,Toronto
159,1989-12-23,Toronto
160,1989-12-29,Toronto
161,1990-02-13,Toronto
162,1990-02-16,Toronto
163,1990-02-22,Toronto
164,1990-03-09,Toronto
165,1990-04-12,Toronto
166,1990-08-13,Toronto
167,1990-08-28,Toronto
168,1990-10-04,Toronto
169,1990-11-13,Toronto
170,1990-11-18,Toronto
171,1991-02-27,Toronto
172,1991-03-01,Toronto
173,1991-03-13,Toronto
174,1991-03-22,Toronto
175,1991-06-28,Toronto
176,1991-08-07,Toronto
177,1992-01-01,Toronto
178,1992-01-15,Toronto
179,1992-02-22,Toronto
180,1992-03-12,Toronto
181,1992-11-13,Toronto
182,1992-12-13,Toronto
183,1992-12-25,Toronto
184,1992-12-30,Toronto
185,1993-01-20,Toronto
186,1993-02-21,Toronto
187,1993-02-27,Toronto
188,1993-03-13,Toronto
189,1993-03-14,Toronto
190,1993-03-23,Toronto
191,1993-04-21,Toronto
192,1993-07-19,Toronto
193,1993-08-27,Toronto
194,1993-10-21,Toronto
195,1993-11-20,Toronto
196,1993-12-18,Toronto
197,1994-01-06,Toronto
198,1994-01-19,Toronto
199,1994-01-28,Toronto
200,1994-01-31,Toronto
201,1994-02-09,Toronto
202,1994-02-11,Toronto
203,1994-02-23,Toronto
204,1994-04-17,Toronto
205,1994-11-21,Toronto
206,1995-02-04,Toronto
207,1995-02-06,Toronto
208,1995-02-28,Toronto
209,1995-07-14,Toronto
210,1995-10-06,Toronto
211,1995-10-15,Toronto
212,1995-11-10,Toronto
213,1995-11-30,Toronto
214,1995-12-10,Toronto
215,1996-01-06,Toronto
216,1996-01-19,Toronto
217,1996-01-27,Toronto
218,1996-01-30,Toronto
219,1996-02-27,Toronto
220,1996-03-17,Toronto
221,1996-04-13,Toronto
222,1996-06-17,Toronto
223,1996-09-02,Toronto
224,1996-09-13,Toronto
225,1997-01-17,Toronto
226,1997-04-07,Toronto
227,1997-06-25,Toronto
228,1997-11-23,Toronto
229,1998-01-19,Toronto
230,1998-03-16,Toronto
231,1998-05-31,Toronto
232,1998-08-24,Toronto
233,1998-11-11,Toronto
234,1999-01-13,Toronto
235,1999-05-31,Toronto
236,1999-07-04,Toronto
237,1999-09-03,Toronto
238,1999-11-03,Toronto
239,1999-11-04,Toronto
240,2000-01-16,Toronto
241,2000-01-22,Toronto
242,2000-01-27,Toronto
243,2000-06-25,Toronto
244,2000-10-04,Toronto
245,2000-10-24,Toronto
246,2000-11-01,Toronto
247,2000-12-12,Toronto
248,2001-08-08,Toronto
249,2001-12-29,Toronto
250,2002-01-29,Toronto
251,2002-03-02,Toronto
252,2002-03-10,Toronto
253,2002-04-06,Toronto
254,2002-05-10,Toronto
255,2002-07-02,Toronto
256,2002-07-04,Toronto
257,2002-07-22,Toronto
258,2002-08-13,Toronto
259,2002-08-14,Toronto
260,2002-09-11,Toronto
261,2003-02-01,Toronto
262,2003-02-05,Toronto
263,2003-02-26,Toronto
264,2003-02-27,Toronto
265,2003-04-17,Toronto
266,2003-04-24,Toronto
267,2003-08-13,Toronto
268,2003-08-14,Toronto
269,2003-09-22,Toronto
270,2003-10-26,Toronto
271,2003-11-13,Toronto
272,2004-01-24,Toronto
273,2004-01-25,Toronto
274,2004-01-26,Toronto
275,2004-02-12,Toronto
276,2004-03-10,Toronto
277,2004-04-19,Toronto
278,2004-07-31,Toronto
279,2004-08-15,Toronto
280,2004-09-09,Toronto
281,2004-10-25,Toronto
282,2004-11-26,Toronto
283,2005-01-16,Toronto
284,2005-01-20,Toronto
285,2005-01-22,Toronto
286,2005-01-23,Toronto
287,2005-01-29,Toronto
288,2005-02-07,Toronto
289,2005-04-03,Toronto
290,2005-07-26,Toronto
291,2005-08-03,Toronto
292,2005-09-29,Toronto
293,2005-11-07,Toronto
294,2005-11-16,Toronto
295,2005-11-30,Toronto
296,2005-12-12,Toronto
297,2006-02-14,Toronto
298,2006-03-01,Toronto
