,time,location_name
0,1940-01-13,Cape Town
1,1940-01-18,Cape Town
2,1940-02-09,Cape Town
3,1940-03-29,Cape Town
4,1940-06-17,Cape Town
5,1940-10-01,Cape Town
6,1940-10-02,Cape Town
7,1940-10-14,Cape Town
8,1940-11-08,Cape Town
9,1941-01-05,Cape Town
10,1941-01-06,Cape Town
11,1941-01-08,Cape Town
12,1941-02-01,Cape Town
13,1941-05-07,Cape Town
14,1941-07-08,Cape Town
15,1941-07-24,Cape Town
16,1941-08-21,Cape Town
17,1941-11-09,Cape Town
18,1941-11-10,Cape Town
19,1942-01-03,Cape Town
20,1942-03-21,Cape Town
21,1942-03-28,Cape Town
22,1942-06-17,Cape Town
23,1942-06-25,Cape Town
24,1942-08-04,Cape Town
25,1942-09-11,Cape Town
26,1942-10-25,Cape Town
27,1943-01-20,Cape Town
28,1943-03-15,Cape Town
29,1943-05-20,Cape Town
30,1943-07-07,Cape Town
31,1943-07-08,Cape Town
32,1943-10-16,Cape Town
33,1943-11-20,Cape Town
34,1943-12-02,Cape Town
35,1944-02-17,Cape Town
36,1944-02-18,Cape Town
37,1944-02-19,Cape Town
38,1944-02-22,Cape Town
39,1944-02-23,Cape Town
40,1944-02-24,Cape Town
41,1944-02-28,Cape Town
42,1944-03-10,Cape Town
43,1944-03-11,Cape Town
44,1944-03-14,Cape Town
45,1944-04-27,Cape Town
46,1944-06-01,Cape Town
47,1944-06-06,Cape Town
48,1944-06-26,Cape Town
49,1944-08-02,Cape Town
50,1944-08-28,Cape Town
51,1944-08-30,Cape Town
52,1945-01-10,Cape Town
53,1945-02-25,Cape Town
54,1945-03-08,Cape Town
55,1945-03-23,Cape Town
56,1945-05-19,Cape Town
57,1945-06-11,Cape Town
58,1945-06-19,Cape Town
59,1945-06-30,Cape Town
60,1945-07-07,Cape Town
61,1945-10-11,Cape Town
62,1946-03-10,Cape Town
63,1946-07-23,Cape Town
64,1946-07-29,Cape Town
65,1946-09-08,Cape Town
66,1947-05-29,Cape Town
67,1947-07-09,Cape Town
68,1947-07-10,Cape Town
69,1947-08-31,Cape Town
70,1947-09-23,Cape Town
71,1948-01-20,Cape Town
72,1948-03-12,Cape Town
73,1948-03-27,Cape Town
74,1948-04-26,Cape Town
75,1948-05-16,Cape Town
76,1948-06-23,Cape Town
77,1948-08-23,Cape Town
78,1948-12-12,Cape Town
79,1949-03-21,Cape Town
80,1949-05-17,Cape Town
81,1950-04-11,Cape Town
82,1950-04-26,Cape Town
83,1950-07-19,Cape Town
84,1951-02-01,Cape Town
85,1951-02-03,Cape Town
86,1951-04-10,Cape Town
87,1951-04-13,Cape Town
88,1951-05-14,Cape Town
89,1951-09-08,Cape Town
90,1951-09-30,Cape Town
91,1951-10-01,Cape Town
92,1952-01-23,Cape Town
93,1952-05-04,Cape Town
94,1952-06-13,Cape Town
95,1952-07-24,Cape Town
96,1952-09-21,Cape Town
97,1952-11-02,Cape Town
98,1952-11-15,Cape Town
99,1952-11-16,Cape Town
100,1952-12-07,Cape Town
101,1953-02-07,Cape Town
102,1953-02-26,Cape Town
103,1953-03-07,Cape Town
104,1953-05-26,Cape Town
105,1953-07-28,Cape Town
106,1954-03-14,Cape Town
107,1954-05-04,Cape Town
108,1954-05-13,Cape Town
109,1954-07-07,Cape Town
110,1954-07-16,Cape Town
111,1954-07-17,Cape Town
112,1954-07-24,Cape Town
113,1954-07-25,Cape Town
114,1954-07-26,Cape Town
115,1954-08-31,Cape Town
116,1954-09-01,Cape Town
117,1954-10-21,Cape Town
118,1954-12-04,Cape Town
119,1954-12-14,Cape Town
120,1954-12-21,Cape Town
121,1955-05-25,Cape Town
122,1955-07-22,Cape Town
123,1955-08-04,Cape Town
124,1955-08-05,Cape Town
125,1956-03-24,Cape Town
126,1956-04-07,Cape Town
127,1956-06-08,Cape Town
128,1956-06-17,Cape Town
129,1956-06-25,Cape Town
130,1956-07-28,Cape Town
131,1956-08-04,Cape Town
132,1957-02-05,Cape Town
133,1957-02-23,Cape Town
134,1957-02-24,Cape Town
135,1957-05-01,Cape Town
136,1957-06-02,Cape Town
137,1957-06-20,Cape Town
138,1957-06-30,Cape Town
139,1958-01-28,Cape Town
140,1958-05-11,Cape Town
141,1958-10-03,Cape Town
142,1959-03-05,Cape Town
143,1959-05-30,Cape Town
144,1959-06-24,Cape Town
145,1959-09-08,Cape Town
146,1959-11-17,Cape Town
147,1960-02-25,Cape Town
148,1960-02-26,Cape Town
149,1960-06-18,Cape Town
150,1960-07-17,Cape Town
151,1960-09-10,Cape Town
152,1960-11-03,Cape Town
153,1960-12-29,Cape Town
154,1961-02-24,Cape Town
155,1961-04-09,Cape Town
156,1961-04-28,Cape Town
157,1961-04-29,Cape Town
158,1961-06-08,Cape Town
159,1961-06-09,Cape Town
160,1961-07-25,Cape Town
161,1961-11-26,Cape Town
