,time,location_name
0,1940-01-05,Moscow
1,1940-01-09,Moscow
2,1940-01-16,Moscow
3,1940-01-17,Moscow
4,1940-01-18,Moscow
5,1940-02-08,Moscow
6,1940-02-26,Moscow
7,1940-03-16,Moscow
8,1940-03-29,Moscow
9,1940-07-25,Moscow
10,1940-10-06,Moscow
11,1941-01-02,Moscow
12,1941-04-21,Moscow
13,1941-05-02,Moscow
14,1941-05-04,Moscow
15,1941-05-08,Moscow
16,1941-08-24,Moscow
17,1941-10-27,Moscow
18,1941-12-13,Moscow
19,1941-12-18,Moscow
20,1941-12-26,Moscow
21,1942-01-22,Moscow
22,1942-03-14,Moscow
23,1942-03-15,Moscow
24,1942-05-24,Moscow
25,1942-06-07,Moscow
26,1942-10-19,Moscow
27,1942-12-22,Moscow
28,1943-01-02,Moscow
29,1943-02-13,Moscow
30,1943-09-14,Moscow
31,1943-09-23,Moscow
32,1943-09-24,Moscow
33,1944-04-03,Moscow
34,1944-05-03,Moscow
35,1945-01-27,Moscow
36,1945-04-10,Moscow
37,1945-05-25,Moscow
38,1945-10-07,Moscow
39,1946-02-26,Moscow
40,1946-05-10,Moscow
41,1946-06-03,Moscow
42,1946-07-11,Moscow
43,1946-12-26,Moscow
44,1947-02-05,Moscow
45,1947-02-10,Moscow
46,1947-02-14,Moscow
47,1947-02-26,Moscow
48,1947-03-10,Moscow
49,1947-04-06,Moscow
50,1947-04-19,Moscow
51,1947-05-26,Moscow
52,1947-06-04,Moscow
53,1947-06-05,Moscow
54,1947-07-18,Moscow
55,1947-10-01,Moscow
56,1947-10-08,Moscow
57,1947-10-09,Moscow
58,1947-11-18,Moscow
59,1948-01-14,Moscow
60,1948-06-21,Moscow
61,1948-06-24,Moscow
62,1948-06-25,Moscow
63,1948-06-26,Moscow
64,1948-08-04,Moscow
65,1948-09-09,Moscow
66,1948-09-21,Moscow
67,1948-10-03,Moscow
68,1949-03-16,Moscow
69,1949-05-19,Moscow
70,1949-06-29,Moscow
71,1949-10-05,Moscow
72,1949-10-06,Moscow
73,1949-10-07,Moscow
74,1949-11-29,Moscow
75,1950-01-06,Moscow
76,1950-01-10,Moscow
77,1950-02-19,Moscow
78,1950-05-31,Moscow
79,1950-11-06,Moscow
80,1951-02-27,Moscow
81,1951-03-26,Moscow
82,1951-07-17,Moscow
83,1951-07-24,Moscow
84,1951-12-02,Moscow
85,1951-12-10,Moscow
86,1952-02-11,Moscow
87,1952-07-06,Moscow
88,1952-09-21,Moscow
89,1952-11-27,Moscow
90,1953-05-04,Moscow
91,1953-05-24,Moscow
92,1953-05-27,Moscow
93,1953-08-29,Moscow
94,1953-09-07,Moscow
95,1953-09-12,Moscow
96,1953-10-02,Moscow
97,1953-10-06,Moscow
98,1953-10-13,Moscow
99,1953-11-14,Moscow
100,1954-01-16,Moscow
101,1954-04-22,Moscow
102,1954-04-26,Moscow
103,1954-06-16,Moscow
104,1954-07-09,Moscow
105,1954-07-10,Moscow
106,1954-09-23,Moscow
107,1954-10-17,Moscow
108,1954-10-20,Moscow
109,1955-01-14,Moscow
110,1955-04-26,Moscow
111,1955-05-24,Moscow
112,1955-05-25,Moscow
113,1955-09-12,Moscow
114,1955-11-30,Moscow
115,1955-12-06,Moscow
116,1955-12-12,Moscow
117,1955-12-13,Moscow
118,1955-12-14,Moscow
119,1955-12-30,Moscow
120,1955-12-31,Moscow
121,1956-01-31,Moscow
122,1956-02-01,Moscow
123,1956-02-04,Moscow
124,1956-02-05,Moscow
125,1956-02-06,Moscow
126,1956-02-08,Moscow
127,1956-02-09,Moscow
128,1956-02-12,Moscow
129,1956-02-14,Moscow
130,1956-02-15,Moscow
131,1956-05-22,Moscow
132,1956-08-22,Moscow
133,1956-10-08,Moscow
134,1957-02-02,Moscow
135,1957-03-19,Moscow
136,1957-05-29,Moscow
137,1957-06-15,Moscow
138,1957-06-25,Moscow
139,1957-09-18,Moscow
140,1957-09-19,Moscow
141,1957-11-30,Moscow
142,1958-01-19,Moscow
143,1958-02-09,Moscow
144,1958-04-25,Moscow
145,1958-08-09,Moscow
146,1958-10-21,Moscow
147,1958-11-27,Moscow
148,1959-06-16,Moscow
149,1959-06-22,Moscow
150,1959-07-02,Moscow
151,1959-08-26,Moscow
152,1959-10-08,Moscow
153,1960-01-17,Moscow
154,1960-02-25,Moscow
155,1960-07-17,Moscow
156,1960-07-27,Moscow
157,1960-08-16,Moscow
158,1960-08-17,Moscow
159,1960-09-09,Moscow
160,1960-11-15,Moscow
161,1960-11-27,Moscow
162,1960-12-11,Moscow
163,1961-01-17,Moscow
164,1961-02-09,Moscow
165,1961-03-08,Moscow
166,1961-03-10,Moscow
167,1961-08-20,Moscow
168,1961-11-09,Moscow
169,1961-12-14,Moscow
170,1961-12-15,Moscow
171,1961-12-27,Moscow
172,1962-04-10,Moscow
173,1962-04-20,Moscow
174,1962-05-04,Moscow
175,1962-06-05,Moscow
176,1962-06-30,Moscow
177,1962-07-09,Moscow
178,1962-08-20,Moscow
179,1962-11-17,Moscow
180,1963-01-12,Moscow
181,1963-01-15,Moscow
182,1963-01-17,Moscow
183,1963-01-18,Moscow
184,1963-01-19,Moscow
185,1963-06-22,Moscow
186,1963-07-19,Moscow
187,1964-04-27,Moscow
188,1964-08-04,Moscow
189,1964-11-30,Moscow
190,1965-01-06,Moscow
191,1965-04-29,Moscow
192,1965-05-20,Moscow
193,1965-07-06,Moscow
194,1965-12-23,Moscow
195,1966-01-28,Moscow
196,1966-02-03,Moscow
197,1966-02-04,Moscow
198,1966-02-14,Moscow
199,1966-02-22,Moscow
200,1966-03-27,Moscow
201,1966-04-08,Moscow
202,1966-05-01,Moscow
203,1966-05-06,Moscow
204,1966-11-17,Moscow
205,1966-11-22,Moscow
206,1966-12-19,Moscow
207,1966-12-20,Moscow
208,1967-01-29,Moscow
209,1967-02-04,Moscow
210,1967-03-01,Moscow
211,1967-04-18,Moscow
212,1967-04-29,Moscow
213,1967-04-30,Moscow
214,1967-07-15,Moscow
215,1967-07-16,Moscow
216,1967-12-24,Moscow
217,1968-01-10,Moscow
218,1968-01-11,Moscow
219,1968-01-13,Moscow
220,1968-01-17,Moscow
221,1968-01-20,Moscow
222,1968-01-22,Moscow
223,1968-03-12,Moscow
224,1968-04-07,Moscow
225,1968-04-25,Moscow
226,1968-05-21,Moscow
227,1968-07-20,Moscow
228,1968-10-07,Moscow
229,1968-10-10,Moscow
230,1968-12-30,Moscow
231,1969-01-25,Moscow
232,1969-01-26,Moscow
233,1969-01-31,Moscow
234,1969-02-12,Moscow
235,1969-02-13,Moscow
236,1969-05-16,Moscow
237,1969-05-22,Moscow
238,1969-09-29,Moscow
239,1969-12-18,Moscow
240,1969-12-19,Moscow
241,1970-01-08,Moscow
242,1970-01-29,Moscow
243,1970-03-25,Moscow
244,1970-04-06,Moscow
245,1970-04-21,Moscow
246,1970-04-23,Moscow
247,1970-07-16,Moscow
248,1970-07-19,Moscow
249,1970-10-14,Moscow
250,1970-12-31,Moscow
251,1971-01-08,Moscow
252,1971-01-24,Moscow
253,1971-03-04,Moscow
254,1971-06-11,Moscow
255,1971-07-09,Moscow
256,1971-10-14,Moscow
257,1971-10-16,Moscow
258,1971-10-23,Moscow
259,1971-10-24,Moscow
260,1971-11-10,Moscow
261,1971-11-21,Moscow
262,1972-04-07,Moscow
263,1972-08-08,Moscow
264,1972-08-26,Moscow
265,1972-09-26,Moscow
266,1972-10-15,Moscow
267,1972-10-20,Moscow
268,1972-10-24,Moscow
269,1973-01-09,Moscow
270,1973-01-30,Moscow
271,1973-01-31,Moscow
272,1973-02-01,Moscow
273,1973-07-20,Moscow
274,1973-09-10,Moscow
275,1973-10-13,Moscow
276,1973-11-25,Moscow
277,1973-11-26,Moscow
278,1973-12-09,Moscow
279,1974-04-12,Moscow
280,1974-10-24,Moscow
281,1974-11-29,Moscow
282,1974-11-30,Moscow
283,1975-03-08,Moscow
284,1975-07-27,Moscow
285,1975-08-18,Moscow
286,1975-11-22,Moscow
287,1975-11-25,Moscow
288,1976-01-12,Moscow
289,1976-01-13,Moscow
290,1976-01-14,Moscow
291,1976-01-15,Moscow
292,1976-01-20,Moscow
293,1976-01-21,Moscow
294,1976-02-25,Moscow
295,1976-03-30,Moscow
296,1976-04-08,Moscow
297,1976-07-19,Moscow
298,1977-09-14,Moscow
299,1977-09-15,Moscow
300,1977-09-17,Moscow
301,1977-11-17,Moscow
302,1977-11-18,Moscow
303,1977-12-29,Moscow
304,1978-04-25,Moscow
305,1978-05-31,Moscow
306,1978-06-02,Moscow
307,1978-06-19,Moscow
308,1978-08-07,Moscow
309,1978-09-02,Moscow
310,1978-10-02,Moscow
311,1978-10-22,Moscow
312,1978-11-19,Moscow
313,1978-11-20,Moscow
314,1978-11-22,Moscow
315,1978-11-23,Moscow
316,1978-11-24,Moscow
317,1978-12-29,Moscow
318,1978-12-30,Moscow
319,1978-12-31,Moscow
320,1979-01-01,Moscow
321,1979-01-02,Moscow
322,1979-01-04,Moscow
323,1979-01-05,Moscow
324,1979-01-25,Moscow
325,1979-03-27,Moscow
326,1979-04-16,Moscow
327,1979-04-17,Moscow
328,1979-04-23,Moscow
329,1979-07-05,Moscow
330,1979-09-08,Moscow
331,1979-12-13,Moscow
332,1980-01-29,Moscow
333,1980-05-16,Moscow
334,1980-05-19,Moscow
335,1980-06-04,Moscow
336,1980-06-29,Moscow
337,1980-07-07,Moscow
338,1980-07-11,Moscow
339,1980-08-22,Moscow
340,1980-09-01,Moscow
341,1980-10-07,Moscow
342,1981-01-19,Moscow
343,1981-04-22,Moscow
344,1981-04-26,Moscow
345,1981-04-29,Moscow
346,1981-06-13,Moscow
347,1981-07-22,Moscow
348,1981-07-30,Moscow
349,1981-08-01,Moscow
350,1981-09-16,Moscow
351,1981-09-17,Moscow
352,1981-09-18,Moscow
353,1981-10-14,Moscow
354,1981-12-13,Moscow
355,1981-12-14,Moscow
356,1981-12-15,Moscow
357,1981-12-25,Moscow
358,1982-01-04,Moscow
359,1982-01-07,Moscow
360,1982-01-08,Moscow
361,1982-01-09,Moscow
362,1982-02-02,Moscow
363,1982-04-13,Moscow
364,1982-06-07,Moscow
365,1982-06-16,Moscow
366,1982-06-17,Moscow
367,1982-07-03,Moscow
368,1982-07-07,Moscow
369,1982-10-16,Moscow
370,1982-10-19,Moscow
371,1982-11-05,Moscow
372,1982-11-19,Moscow
373,1982-12-16,Moscow
374,1983-04-13,Moscow
375,1983-04-15,Moscow
376,1983-06-22,Moscow
377,1983-09-29,Moscow
378,1983-10-02,Moscow
379,1983-10-10,Moscow
380,1983-10-27,Moscow
381,1983-11-02,Moscow
382,1983-11-03,Moscow
383,1983-11-12,Moscow
384,1983-11-13,Moscow
385,1983-11-29,Moscow
386,1984-02-07,Moscow
387,1984-02-08,Moscow
388,1984-06-09,Moscow
389,1984-06-29,Moscow
390,1984-07-29,Moscow
391,1984-09-04,Moscow
392,1984-09-06,Moscow
393,1985-02-09,Moscow
394,1985-02-12,Moscow
395,1985-02-17,Moscow
396,1985-05-15,Moscow
397,1985-05-21,Moscow
398,1985-05-22,Moscow
399,1985-09-07,Moscow
400,1985-09-08,Moscow
401,1985-11-26,Moscow
402,1985-12-07,Moscow
403,1985-12-20,Moscow
404,1986-02-21,Moscow
405,1986-04-12,Moscow
406,1986-04-15,Moscow
407,1986-05-05,Moscow
408,1986-05-27,Moscow
409,1986-06-23,Moscow
410,1986-07-03,Moscow
411,1986-07-11,Moscow
412,1986-07-12,Moscow
413,1986-08-21,Moscow
414,1986-08-31,Moscow
415,1986-09-01,Moscow
416,1986-09-16,Moscow
417,1986-12-03,Moscow
418,1986-12-05,Moscow
419,1986-12-08,Moscow
420,1987-01-04,Moscow
421,1987-01-05,Moscow
422,1987-01-09,Moscow
423,1987-01-12,Moscow
424,1987-01-13,Moscow
425,1987-01-25,Moscow
426,1987-01-26,Moscow
427,1987-01-28,Moscow
428,1987-01-29,Moscow
429,1987-01-30,Moscow
430,1987-03-03,Moscow
431,1987-05-24,Moscow
432,1987-05-26,Moscow
433,1987-06-18,Moscow
434,1987-06-24,Moscow
435,1987-07-13,Moscow
436,1987-08-06,Moscow
437,1987-08-07,Moscow
438,1987-08-08,Moscow
439,1987-09-23,Moscow
440,1987-11-23,Moscow
441,1988-01-20,Moscow
442,1988-04-14,Moscow
443,1988-06-01,Moscow
444,1988-06-07,Moscow
445,1988-06-16,Moscow
446,1988-08-04,Moscow
447,1988-10-28,Moscow
448,1988-12-29,Moscow
449,1989-04-02,Moscow
450,1989-07-03,Moscow
451,1989-08-03,Moscow
452,1989-08-04,Moscow
453,1989-08-22,Moscow
454,1989-10-04,Moscow
455,1989-10-05,Moscow
456,1989-10-23,Moscow
457,1989-11-02,Moscow
458,1989-11-20,Moscow
459,1989-12-05,Moscow
460,1990-02-22,Moscow
461,1990-02-23,Moscow
462,1990-03-11,Moscow
463,1990-03-22,Moscow
464,1990-04-10,Moscow
465,1990-04-11,Moscow
466,1990-05-25,Moscow
467,1990-07-12,Moscow
468,1990-08-12,Moscow
469,1990-09-18,Moscow
470,1990-09-23,Moscow
471,1991-01-11,Moscow
472,1991-01-27,Moscow
473,1991-04-20,Moscow
474,1991-06-24,Moscow
475,1991-06-29,Moscow
476,1991-07-24,Moscow
477,1991-07-25,Moscow
478,1991-09-04,Moscow
479,1992-03-14,Moscow
480,1992-07-16,Moscow
481,1992-10-07,Moscow
482,1992-11-19,Moscow
483,1992-11-20,Moscow
484,1993-03-12,Moscow
485,1993-06-09,Moscow
486,1993-07-24,Moscow
487,1993-09-17,Moscow
488,1993-09-23,Moscow
489,1993-09-28,Moscow
490,1994-03-24,Moscow
491,1994-06-29,Moscow
492,1994-10-01,Moscow
493,1994-10-04,Moscow
494,1994-11-15,Moscow
495,1995-02-07,Moscow
496,1995-05-14,Moscow
497,1995-05-31,Moscow
498,1995-09-30,Moscow
499,1995-10-01,Moscow
500,1995-12-17,Moscow
501,1996-01-17,Moscow
502,1996-01-18,Moscow
503,1996-06-08,Moscow
504,1996-09-14,Moscow
505,1997-04-25,Moscow
506,1997-05-04,Moscow
507,1997-09-28,Moscow
508,1997-10-05,Moscow
509,1997-10-06,Moscow
510,1997-12-10,Moscow
511,1998-02-20,Moscow
512,1998-05-05,Moscow
513,1998-05-13,Moscow
514,1998-05-28,Moscow
515,1998-06-15,Moscow
516,1998-07-04,Moscow
517,1998-07-18,Moscow
518,1998-07-30,Moscow
519,1998-08-31,Moscow
520,1998-09-15,Moscow
521,1998-10-02,Moscow
522,1998-10-28,Moscow
523,1998-10-29,Moscow
524,1999-02-24,Moscow
525,1999-05-31,Moscow
526,1999-07-08,Moscow
527,1999-07-12,Moscow
528,1999-07-19,Moscow
529,1999-08-11,Moscow
530,1999-09-16,Moscow
531,1999-12-02,Moscow
532,2000-04-03,Moscow
533,2000-05-01,Moscow
534,2000-05-12,Moscow
535,2000-05-13,Moscow
536,2000-06-13,Moscow
537,2000-07-15,Moscow
538,2000-07-17,Moscow
539,2000-07-24,Moscow
540,2000-09-15,Moscow
541,2000-10-05,Moscow
542,2000-12-05,Moscow
543,2001-02-02,Moscow
544,2001-02-16,Moscow
545,2001-03-16,Moscow
546,2001-05-02,Moscow
547,2001-08-11,Moscow
548,2001-09-22,Moscow
549,2001-10-18,Moscow
550,2001-11-09,Moscow
551,2001-12-24,Moscow
