,time,location_name
0,1940-01-11,Reykjavik
1,1940-02-17,Reykjavik
2,1940-03-09,Reykjavik
3,1940-04-15,Reykjavik
4,1940-09-22,Reykjavik
5,1940-10-29,Reykjavik
6,1940-11-20,Reykjavik
7,1941-09-25,Reykjavik
8,1941-10-05,Reykjavik
9,1941-12-02,Reykjavik
10,1941-12-14,Reykjavik
11,1942-01-16,Reykjavik
12,1942-01-18,Reykjavik
13,1942-01-20,Reykjavik
14,1942-03-02,Reykjavik
15,1942-03-15,Reykjavik
16,1942-10-06,Reykjavik
17,1942-11-14,Reykjavik
18,1942-11-15,Reykjavik
19,1943-01-14,Reykjavik
20,1943-02-17,Reykjavik
21,1943-09-23,Reykjavik
22,1943-11-21,Reykjavik
23,1943-12-17,Reykjavik
24,1944-01-10,Reykjavik
25,1944-01-18,Reykjavik
26,1944-02-12,Reykjavik
27,1944-04-02,Reykjavik
28,1944-09-17,Reykjavik
29,1944-10-27,Reykjavik
30,1944-12-23,Reykjavik
31,1945-02-24,Reykjavik
32,1945-03-19,Reykjavik
33,1945-04-03,Reykjavik
34,1945-04-05,Reykjavik
35,1945-10-25,Reykjavik
36,1945-11-02,Reykjavik
37,1945-11-15,Reykjavik
38,1945-12-10,Reykjavik
39,1946-01-16,Reykjavik
40,1946-01-17,Reykjavik
41,1946-01-18,Reykjavik
42,1946-01-20,Reykjavik
43,1946-02-15,Reykjavik
44,1946-10-02,Reykjavik
45,1946-10-22,Reykjavik
46,1946-11-01,Reykjavik
47,1947-01-03,Reykjavik
48,1947-01-05,Reykjavik
49,1947-01-19,Reykjavik
50,1947-07-06,Reykjavik
51,1947-08-26,Reykjavik
52,1947-09-20,Reykjavik
53,1947-12-27,Reykjavik
54,1948-01-02,Reykjavik
55,1948-01-03,Reykjavik
56,1948-03-03,Reykjavik
57,1948-05-28,Reykjavik
58,1948-07-25,Reykjavik
59,1948-11-08,Reykjavik
60,1948-12-13,Reykjavik
61,1948-12-18,Reykjavik
62,1949-01-11,Reykjavik
63,1949-03-12,Reykjavik
64,1950-01-13,Reykjavik
65,1950-01-19,Reykjavik
66,1950-01-25,Reykjavik
67,1950-01-26,Reykjavik
68,1950-01-28,Reykjavik
69,1950-01-30,Reykjavik
70,1950-03-04,Reykjavik
71,1950-05-05,Reykjavik
72,1950-07-17,Reykjavik
73,1950-11-07,Reykjavik
74,1950-12-10,Reykjavik
75,1950-12-11,Reykjavik
76,1950-12-13,Reykjavik
77,1951-01-28,Reykjavik
78,1951-02-22,Reykjavik
79,1951-04-15,Reykjavik
80,1951-04-16,Reykjavik
81,1951-06-12,Reykjavik
82,1951-12-09,Reykjavik
83,1951-12-28,Reykjavik
84,1952-01-05,Reykjavik
85,1952-01-18,Reykjavik
86,1952-01-26,Reykjavik
87,1952-01-30,Reykjavik
88,1952-01-31,Reykjavik
89,1952-04-27,Reykjavik
90,1952-10-08,Reykjavik
91,1952-10-11,Reykjavik
92,1953-04-01,Reykjavik
93,1953-04-02,Reykjavik
94,1953-05-06,Reykjavik
95,1953-06-23,Reykjavik
96,1953-08-03,Reykjavik
97,1953-08-08,Reykjavik
98,1953-09-25,Reykjavik
99,1953-12-06,Reykjavik
100,1953-12-14,Reykjavik
101,1953-12-16,Reykjavik
102,1953-12-30,Reykjavik
103,1954-01-05,Reykjavik
104,1954-02-15,Reykjavik
105,1954-02-21,Reykjavik
106,1954-04-06,Reykjavik
107,1954-10-09,Reykjavik
108,1954-11-08,Reykjavik
109,1954-11-14,Reykjavik
110,1955-01-12,Reykjavik
111,1955-01-14,Reykjavik
112,1955-01-17,Reykjavik
113,1955-05-25,Reykjavik
114,1955-05-29,Reykjavik
115,1955-07-24,Reykjavik
116,1955-08-23,Reykjavik
117,1955-12-20,Reykjavik
118,1955-12-21,Reykjavik
119,1956-01-03,Reykjavik
120,1956-01-13,Reykjavik
121,1956-01-15,Reykjavik
122,1956-02-01,Reykjavik
123,1956-02-02,Reykjavik
124,1956-02-09,Reykjavik
125,1956-03-08,Reykjavik
126,1956-04-06,Reykjavik
127,1956-04-23,Reykjavik
128,1956-04-30,Reykjavik
129,1956-05-27,Reykjavik
130,1956-05-28,Reykjavik
131,1956-10-24,Reykjavik
132,1956-11-24,Reykjavik
133,1956-12-01,Reykjavik
134,1957-01-17,Reykjavik
135,1957-03-03,Reykjavik
136,1957-05-12,Reykjavik
137,1957-08-23,Reykjavik
138,1957-10-29,Reykjavik
139,1957-12-15,Reykjavik
140,1958-01-03,Reykjavik
141,1958-01-10,Reykjavik
142,1958-01-16,Reykjavik
143,1958-01-17,Reykjavik
144,1958-01-18,Reykjavik
145,1958-01-19,Reykjavik
146,1958-02-03,Reykjavik
147,1958-03-11,Reykjavik
148,1958-05-14,Reykjavik
149,1958-09-03,Reykjavik
150,1958-09-17,Reykjavik
151,1958-11-19,Reykjavik
152,1958-12-03,Reykjavik
153,1958-12-04,Reykjavik
154,1958-12-10,Reykjavik
155,1959-01-09,Reykjavik
156,1959-02-15,Reykjavik
157,1959-02-17,Reykjavik
158,1959-04-30,Reykjavik
159,1959-06-17,Reykjavik
160,1959-10-01,Reykjavik
161,1959-10-08,Reykjavik
162,1959-10-09,Reykjavik
163,1959-12-13,Reykjavik
164,1959-12-16,Reykjavik
165,1960-01-23,Reykjavik
166,1960-03-02,Reykjavik
167,1960-04-04,Reykjavik
168,1960-04-23,Reykjavik
169,1960-05-29,Reykjavik
170,1960-10-29,Reykjavik
171,1960-11-17,Reykjavik
172,1961-01-27,Reykjavik
173,1961-03-15,Reykjavik
174,1961-05-23,Reykjavik
175,1961-07-16,Reykjavik
176,1961-11-24,Reykjavik
177,1961-12-06,Reykjavik
178,1961-12-28,Reykjavik
179,1961-12-31,Reykjavik
180,1962-04-19,Reykjavik
181,1962-07-10,Reykjavik
182,1962-10-01,Reykjavik
183,1962-11-25,Reykjavik
184,1962-12-10,Reykjavik
185,1963-01-12,Reykjavik
186,1963-04-09,Reykjavik
187,1963-04-10,Reykjavik
188,1963-04-11,Reykjavik
189,1963-06-23,Reykjavik
190,1963-10-14,Reykjavik
191,1963-10-23,Reykjavik
192,1963-11-03,Reykjavik
193,1963-11-25,Reykjavik
194,1964-05-19,Reykjavik
195,1964-08-22,Reykjavik
196,1964-09-24,Reykjavik
197,1964-10-22,Reykjavik
198,1964-12-13,Reykjavik
199,1965-02-12,Reykjavik
200,1965-03-02,Reykjavik
201,1965-03-03,Reykjavik
202,1965-05-07,Reykjavik
203,1965-05-10,Reykjavik
204,1965-10-19,Reykjavik
205,1965-11-05,Reykjavik
206,1966-01-16,Reykjavik
207,1966-01-18,Reykjavik
208,1966-01-21,Reykjavik
209,1966-01-24,Reykjavik
210,1966-01-25,Reykjavik
211,1966-03-03,Reykjavik
212,1966-03-23,Reykjavik
213,1966-04-02,Reykjavik
214,1966-08-26,Reykjavik
215,1966-08-31,Reykjavik
216,1966-11-29,Reykjavik
217,1966-12-08,Reykjavik
218,1967-02-28,Reykjavik
219,1967-03-01,Reykjavik
220,1967-03-19,Reykjavik
221,1967-08-21,Reykjavik
222,1967-09-30,Reykjavik
223,1967-11-25,Reykjavik
224,1967-12-06,Reykjavik
225,1967-12-07,Reykjavik
226,1967-12-10,Reykjavik
227,1968-01-01,Reykjavik
228,1968-01-02,Reykjavik
229,1968-01-03,Reykjavik
230,1968-01-11,Reykjavik
231,1968-01-19,Reykjavik
232,1968-02-16,Reykjavik
233,1968-02-22,Reykjavik
234,1968-02-27,Reykjavik
235,1968-03-05,Reykjavik
236,1968-03-20,Reykjavik
237,1968-03-21,Reykjavik
238,1968-04-27,Reykjavik
239,1968-05-14,Reykjavik
240,1968-08-25,Reykjavik
241,1968-09-05,Reykjavik
242,1968-09-19,Reykjavik
243,1968-10-25,Reykjavik
244,1968-12-18,Reykjavik
245,1969-01-04,Reykjavik
246,1969-01-14,Reykjavik
247,1969-01-15,Reykjavik
248,1969-01-16,Reykjavik
249,1969-01-31,Reykjavik
250,1969-02-06,Reykjavik
251,1969-02-07,Reykjavik
252,1969-02-19,Reykjavik
253,1969-02-24,Reykjavik
254,1969-03-08,Reykjavik
255,1969-03-09,Reykjavik
256,1969-03-16,Reykjavik
257,1969-04-03,Reykjavik
258,1969-07-31,Reykjavik
259,1969-10-12,Reykjavik
260,1970-01-08,Reykjavik
261,1970-01-21,Reykjavik
262,1970-02-07,Reykjavik
263,1970-03-25,Reykjavik
264,1970-03-28,Reykjavik
265,1970-09-26,Reykjavik
266,1970-10-16,Reykjavik
267,1971-01-04,Reykjavik
268,1971-01-20,Reykjavik
269,1971-01-26,Reykjavik
270,1971-05-26,Reykjavik
271,1971-08-08,Reykjavik
272,1971-11-29,Reykjavik
273,1971-12-12,Reykjavik
274,1971-12-17,Reykjavik
275,1972-01-30,Reykjavik
276,1972-03-08,Reykjavik
277,1972-03-10,Reykjavik
278,1972-10-05,Reykjavik
279,1972-12-10,Reykjavik
280,1973-01-09,Reykjavik
281,1973-01-11,Reykjavik
282,1973-02-12,Reykjavik
283,1973-02-13,Reykjavik
284,1973-02-14,Reykjavik
285,1973-02-18,Reykjavik
286,1973-07-26,Reykjavik
287,1973-09-24,Reykjavik
288,1973-11-06,Reykjavik
289,1973-11-16,Reykjavik
290,1973-11-18,Reykjavik
291,1973-11-26,Reykjavik
292,1973-12-13,Reykjavik
293,1973-12-14,Reykjavik
294,1973-12-18,Reykjavik
295,1973-12-19,Reykjavik
296,1973-12-31,Reykjavik
297,1974-01-04,Reykjavik
298,1974-03-05,Reykjavik
299,1974-10-23,Reykjavik
300,1974-10-24,Reykjavik
301,1974-12-20,Reykjavik
302,1974-12-30,Reykjavik
303,1975-01-03,Reykjavik
304,1975-01-05,Reykjavik
305,1975-02-15,Reykjavik
306,1975-03-21,Reykjavik
307,1975-06-04,Reykjavik
308,1975-08-06,Reykjavik
309,1975-12-05,Reykjavik
310,1975-12-14,Reykjavik
311,1976-01-01,Reykjavik
312,1976-01-22,Reykjavik
313,1976-02-01,Reykjavik
314,1976-02-15,Reykjavik
315,1976-03-10,Reykjavik
316,1976-04-03,Reykjavik
317,1976-06-15,Reykjavik
318,1976-07-09,Reykjavik
319,1976-07-13,Reykjavik
320,1976-08-14,Reykjavik
321,1976-09-16,Reykjavik
322,1976-12-09,Reykjavik
323,1977-08-13,Reykjavik
324,1977-08-14,Reykjavik
325,1977-08-27,Reykjavik
326,1977-11-10,Reykjavik
327,1977-12-11,Reykjavik
328,1977-12-19,Reykjavik
329,1978-02-27,Reykjavik
330,1978-02-28,Reykjavik
331,1978-04-14,Reykjavik
332,1978-06-06,Reykjavik
333,1979-01-13,Reykjavik
334,1979-01-31,Reykjavik
335,1979-02-15,Reykjavik
336,1979-02-19,Reykjavik
337,1979-02-20,Reykjavik
338,1979-03-08,Reykjavik
339,1979-03-09,Reykjavik
340,1979-06-03,Reykjavik
341,1979-06-20,Reykjavik
342,1979-09-22,Reykjavik
343,1980-02-03,Reykjavik
344,1980-02-04,Reykjavik
345,1980-02-19,Reykjavik
346,1980-07-30,Reykjavik
347,1980-07-31,Reykjavik
348,1980-08-06,Reykjavik
349,1980-10-02,Reykjavik
350,1980-10-16,Reykjavik
351,1980-10-28,Reykjavik
352,1980-12-19,Reykjavik
353,1980-12-27,Reykjavik
354,1980-12-28,Reykjavik
355,1981-01-27,Reykjavik
356,1981-02-16,Reykjavik
357,1981-02-17,Reykjavik
358,1981-03-04,Reykjavik
359,1981-03-06,Reykjavik
360,1981-05-04,Reykjavik
361,1981-08-23,Reykjavik
362,1981-08-25,Reykjavik
363,1981-12-08,Reykjavik
364,1981-12-25,Reykjavik
365,1981-12-27,Reykjavik
