,time,location_name
0,1940-01-05,Rio de Janeiro
1,1940-02-15,Rio de Janeiro
2,1940-02-19,Rio de Janeiro
3,1940-12-16,Rio de Janeiro
4,1940-12-24,Rio de Janeiro
5,1940-12-25,Rio de Janeiro
6,1941-03-04,Rio de Janeiro
7,1941-03-22,Rio de Janeiro
8,1941-03-23,Rio de Janeiro
9,1941-05-31,Rio de Janeiro
10,1941-06-29,Rio de Janeiro
11,1941-08-08,Rio de Janeiro
12,1941-12-02,Rio de Janeiro
13,1942-04-17,Rio de Janeiro
14,1942-06-12,Rio de Janeiro
15,1942-06-18,Rio de Janeiro
16,1942-06-19,Rio de Janeiro
17,1942-06-22,Rio de Janeiro
18,1942-08-20,Rio de Janeiro
19,1942-09-08,Rio de Janeiro
20,1942-12-28,Rio de Janeiro
21,1943-02-20,Rio de Janeiro
22,1943-06-16,Rio de Janeiro
23,1943-06-21,Rio de Janeiro
24,1943-06-28,Rio de Janeiro
25,1943-08-04,Rio de Janeiro
26,1943-08-24,Rio de Janeiro
27,1943-10-18,Rio de Janeiro
28,1943-12-22,Rio de Janeiro
29,1944-02-11,Rio de Janeiro
30,1944-03-04,Rio de Janeiro
31,1944-06-06,Rio de Janeiro
32,1944-07-12,Rio de Janeiro
33,1944-12-18,Rio de Janeiro
34,1945-01-12,Rio de Janeiro
35,1945-05-14,Rio de Janeiro
36,1945-06-01,Rio de Janeiro
37,1945-06-25,Rio de Janeiro
38,1945-07-09,Rio de Janeiro
39,1945-07-30,Rio de Janeiro
40,1945-08-21,Rio de Janeiro
41,1945-08-26,Rio de Janeiro
42,1946-01-15,Rio de Janeiro
43,1946-03-11,Rio de Janeiro
44,1946-03-23,Rio de Janeiro
45,1946-09-16,Rio de Janeiro
46,1946-09-26,Rio de Janeiro
47,1946-11-30,Rio de Janeiro
48,1947-02-26,Rio de Janeiro
49,1947-03-21,Rio de Janeiro
50,1947-06-07,Rio de Janeiro
51,1947-07-01,Rio de Janeiro
52,1947-07-07,Rio de Janeiro
53,1947-09-01,Rio de Janeiro
54,1947-09-13,Rio de Janeiro
55,1947-11-10,Rio de Janeiro
56,1947-12-17,Rio de Janeiro
57,1947-12-18,Rio de Janeiro
58,1948-02-11,Rio de Janeiro
59,1948-02-12,Rio de Janeiro
60,1948-02-19,Rio de Janeiro
61,1948-05-02,Rio de Janeiro
62,1948-05-30,Rio de Janeiro
63,1948-10-12,Rio de Janeiro
64,1948-12-18,Rio de Janeiro
65,1949-04-23,Rio de Janeiro
66,1949-06-14,Rio de Janeiro
67,1949-07-19,Rio de Janeiro
68,1949-11-01,Rio de Janeiro
69,1950-01-20,Rio de Janeiro
70,1950-02-06,Rio de Janeiro
71,1950-03-28,Rio de Janeiro
72,1950-04-30,Rio de Janeiro
73,1950-06-08,Rio de Janeiro
74,1950-07-31,Rio de Janeiro
75,1950-11-18,Rio de Janeiro
76,1950-12-08,Rio de Janeiro
