,time,location_name
0,1940-01-15,Sydney
1,1940-01-17,Sydney
2,1940-01-26,Sydney
3,1940-02-27,Sydney
4,1940-04-08,Sydney
5,1940-04-12,Sydney
6,1940-05-23,Sydney
7,1940-09-03,Sydney
8,1940-09-29,Sydney
9,1940-10-16,Sydney
10,1940-10-23,Sydney
11,1940-11-11,Sydney
12,1940-11-26,Sydney
13,1940-12-25,Sydney
14,1940-12-28,Sydney
15,1940-12-31,Sydney
16,1941-01-02,Sydney
17,1941-01-03,Sydney
18,1941-01-20,Sydney
19,1941-02-02,Sydney
20,1941-02-09,Sydney
21,1941-02-22,Sydney
22,1941-02-24,Sydney
23,1941-03-23,Sydney
24,1941-04-06,Sydney
25,1941-05-02,Sydney
26,1941-05-10,Sydney
27,1941-08-26,Sydney
28,1941-11-24,Sydney
29,1941-11-30,Sydney
30,1942-01-16,Sydney
31,1942-01-17,Sydney
32,1942-01-30,Sydney
33,1942-02-16,Sydney
34,1942-07-09,Sydney
35,1942-07-29,Sydney
36,1942-08-05,Sydney
37,1942-10-04,Sydney
38,1942-11-23,Sydney
39,1942-12-19,Sydney
40,1943-01-08,Sydney
41,1943-01-13,Sydney
42,1943-01-14,Sydney
43,1943-02-03,Sydney
44,1943-02-04,Sydney
45,1943-02-18,Sydney
46,1943-03-01,Sydney
47,1943-03-03,Sydney
48,1943-03-04,Sydney
49,1943-03-28,Sydney
50,1943-07-06,Sydney
51,1943-08-08,Sydney
52,1943-08-12,Sydney
53,1943-08-20,Sydney
54,1943-11-07,Sydney
55,1943-11-18,Sydney
56,1944-01-10,Sydney
57,1944-01-21,Sydney
58,1944-01-23,Sydney
59,1944-02-01,Sydney
60,1944-02-08,Sydney
61,1944-02-09,Sydney
62,1944-02-15,Sydney
63,1944-02-29,Sydney
64,1944-03-04,Sydney
65,1944-03-09,Sydney
66,1944-07-15,Sydney
67,1944-08-21,Sydney
68,1944-08-22,Sydney
69,1944-10-16,Sydney
70,1944-11-13,Sydney
71,1944-11-19,Sydney
72,1944-11-25,Sydney
73,1944-11-29,Sydney
74,1944-12-06,Sydney
75,1944-12-17,Sydney
76,1944-12-21,Sydney
77,1944-12-26,Sydney
78,1944-12-30,Sydney
79,1945-01-14,Sydney
80,1945-01-15,Sydney
81,1945-01-25,Sydney
82,1945-01-30,Sydney
83,1945-04-08,Sydney
84,1945-06-11,Sydney
85,1945-07-11,Sydney
86,1945-11-09,Sydney
87,1945-12-10,Sydney
88,1945-12-17,Sydney
89,1946-01-04,Sydney
90,1946-01-05,Sydney
91,1946-01-14,Sydney
92,1946-01-17,Sydney
93,1946-01-18,Sydney
94,1946-01-20,Sydney
95,1946-01-22,Sydney
96,1946-02-08,Sydney
97,1946-02-11,Sydney
98,1946-02-12,Sydney
99,1946-02-18,Sydney
100,1946-03-29,Sydney
101,1946-06-05,Sydney
102,1946-06-06,Sydney
103,1946-08-19,Sydney
104,1946-10-14,Sydney
105,1946-11-06,Sydney
106,1946-11-18,Sydney
107,1946-11-27,Sydney
108,1946-12-06,Sydney
109,1946-12-14,Sydney
110,1946-12-20,Sydney
111,1946-12-26,Sydney
112,1947-02-08,Sydney
113,1947-03-02,Sydney
114,1947-04-22,Sydney
115,1947-09-02,Sydney
116,1948-02-06,Sydney
117,1948-02-19,Sydney
118,1948-10-11,Sydney
119,1948-10-26,Sydney
120,1948-10-27,Sydney
121,1948-10-31,Sydney
122,1948-12-12,Sydney
123,1948-12-16,Sydney
124,1949-02-11,Sydney
125,1949-02-22,Sydney
126,1949-06-04,Sydney
127,1949-06-15,Sydney
128,1949-07-25,Sydney
129,1949-08-25,Sydney
130,1949-09-23,Sydney
131,1949-10-23,Sydney
132,1950-01-18,Sydney
133,1950-01-19,Sydney
134,1950-02-04,Sydney
135,1950-02-05,Sydney
136,1950-02-06,Sydney
137,1950-03-20,Sydney
138,1950-05-20,Sydney
139,1950-05-21,Sydney
140,1950-06-07,Sydney
141,1950-06-08,Sydney
142,1950-06-25,Sydney
143,1950-11-16,Sydney
144,1950-12-08,Sydney
145,1951-07-20,Sydney
146,1951-09-24,Sydney
147,1951-09-25,Sydney
148,1951-11-09,Sydney
149,1951-11-15,Sydney
150,1951-12-09,Sydney
151,1952-01-14,Sydney
152,1952-02-18,Sydney
153,1952-06-14,Sydney
154,1952-10-10,Sydney
155,1952-12-26,Sydney
156,1953-02-06,Sydney
157,1953-05-02,Sydney
158,1953-08-05,Sydney
159,1953-10-20,Sydney
160,1953-10-21,Sydney
161,1953-11-05,Sydney
162,1953-11-06,Sydney
163,1953-11-07,Sydney
164,1953-12-07,Sydney
165,1953-12-21,Sydney
166,1953-12-22,Sydney
167,1954-02-14,Sydney
168,1954-02-15,Sydney
169,1954-02-21,Sydney
170,1954-11-29,Sydney
171,1954-12-04,Sydney
172,1955-02-14,Sydney
173,1955-02-16,Sydney
174,1955-02-24,Sydney
175,1955-08-08,Sydney
176,1955-08-09,Sydney
177,1955-08-24,Sydney
178,1955-11-07,Sydney
179,1955-11-08,Sydney
180,1956-01-20,Sydney
181,1956-02-10,Sydney
182,1956-02-18,Sydney
183,1956-02-20,Sydney
184,1956-03-08,Sydney
185,1956-03-09,Sydney
186,1956-07-11,Sydney
187,1956-07-12,Sydney
188,1956-07-16,Sydney
189,1956-10-05,Sydney
190,1956-10-19,Sydney
191,1957-02-17,Sydney
192,1957-02-18,Sydney
193,1957-10-16,Sydney
194,1957-11-26,Sydney
195,1957-12-26,Sydney
196,1958-02-04,Sydney
197,1958-02-11,Sydney
198,1958-03-09,Sydney
199,1958-06-15,Sydney
200,1958-06-28,Sydney
201,1958-06-29,Sydney
202,1958-06-30,Sydney
203,1958-09-21,Sydney
204,1958-10-05,Sydney
205,1958-10-24,Sydney
206,1958-12-28,Sydney
207,1959-01-15,Sydney
208,1959-01-26,Sydney
209,1959-02-18,Sydney
210,1959-07-21,Sydney
211,1959-10-04,Sydney
212,1959-10-21,Sydney
213,1959-11-08,Sydney
214,1959-11-30,Sydney
215,1960-01-18,Sydney
216,1960-02-01,Sydney
217,1960-02-11,Sydney
218,1960-04-21,Sydney
219,1960-05-01,Sydney
220,1960-11-12,Sydney
221,1960-12-04,Sydney
222,1960-12-16,Sydney
223,1960-12-17,Sydney
224,1961-02-08,Sydney
225,1961-05-04,Sydney
226,1961-08-24,Sydney
227,1961-08-25,Sydney
228,1961-11-17,Sydney
229,1961-11-18,Sydney
230,1961-12-01,Sydney
231,1961-12-25,Sydney
232,1962-02-08,Sydney
233,1962-02-14,Sydney
234,1962-02-16,Sydney
235,1962-02-17,Sydney
236,1962-08-01,Sydney
237,1962-08-21,Sydney
238,1962-12-04,Sydney
239,1963-01-03,Sydney
240,1963-01-15,Sydney
241,1963-04-27,Sydney
242,1963-04-28,Sydney
243,1963-05-17,Sydney
244,1963-06-04,Sydney
245,1963-06-05,Sydney
246,1963-06-25,Sydney
247,1963-08-28,Sydney
248,1963-08-29,Sydney
249,1963-08-30,Sydney
250,1963-09-23,Sydney
251,1963-09-24,Sydney
252,1963-12-06,Sydney
253,1963-12-16,Sydney
