,time,location_name
0,1940-03-15,Tokyo
1,1940-03-21,Tokyo
2,1940-03-22,Tokyo
3,1940-03-23,Tokyo
4,1940-06-26,Tokyo
5,1940-10-24,Tokyo
6,1940-11-20,Tokyo
7,1941-01-20,Tokyo
8,1941-03-24,Tokyo
9,1941-04-28,Tokyo
10,1941-05-11,Tokyo
11,1941-07-22,Tokyo
12,1941-10-02,Tokyo
13,1942-01-01,Tokyo
14,1942-01-11,Tokyo
15,1942-02-26,Tokyo
16,1942-07-28,Tokyo
17,1942-07-31,Tokyo
18,1942-08-17,Tokyo
19,1942-09-10,Tokyo
20,1943-02-03,Tokyo
21,1943-02-07,Tokyo
22,1943-02-18,Tokyo
23,1944-01-31,Tokyo
24,1945-02-02,Tokyo
25,1945-02-18,Tokyo
26,1945-03-02,Tokyo
27,1945-08-29,Tokyo
28,1945-09-01,Tokyo
29,1945-09-17,Tokyo
30,1945-09-18,Tokyo
31,1945-11-24,Tokyo
32,1945-12-22,Tokyo
33,1946-01-28,Tokyo
34,1946-02-01,Tokyo
35,1946-03-02,Tokyo
36,1946-03-07,Tokyo
37,1946-07-15,Tokyo
38,1946-07-16,Tokyo
39,1946-07-17,Tokyo
40,1946-08-30,Tokyo
41,1947-01-11,Tokyo
42,1947-03-15,Tokyo
43,1947-04-01,Tokyo
44,1947-04-02,Tokyo
45,1947-05-18,Tokyo
46,1947-07-28,Tokyo
47,1947-08-16,Tokyo
48,1947-08-19,Tokyo
49,1947-08-27,Tokyo
50,1947-09-14,Tokyo
51,1947-11-29,Tokyo
52,1947-12-29,Tokyo
53,1948-02-01,Tokyo
54,1948-06-17,Tokyo
55,1948-09-15,Tokyo
56,1948-12-31,Tokyo
57,1949-01-01,Tokyo
58,1949-02-28,Tokyo
59,1950-01-10,Tokyo
60,1950-02-15,Tokyo
61,1950-09-03,Tokyo
62,1950-10-30,Tokyo
63,1950-11-28,Tokyo
64,1950-11-29,Tokyo
65,1950-12-01,Tokyo
66,1951-01-23,Tokyo
67,1951-02-14,Tokyo
68,1951-02-16,Tokyo
69,1951-02-24,Tokyo
70,1951-03-12,Tokyo
71,1951-03-22,Tokyo
72,1951-06-04,Tokyo
73,1951-08-10,Tokyo
74,1951-10-15,Tokyo
75,1952-01-05,Tokyo
76,1952-01-30,Tokyo
77,1952-02-04,Tokyo
78,1952-02-17,Tokyo
79,1952-02-19,Tokyo
80,1952-02-26,Tokyo
81,1952-03-14,Tokyo
82,1952-04-18,Tokyo
83,1952-09-07,Tokyo
84,1952-12-09,Tokyo
85,1953-02-07,Tokyo
86,1953-02-15,Tokyo
87,1953-02-21,Tokyo
88,1953-03-12,Tokyo
89,1953-08-15,Tokyo
90,1953-08-22,Tokyo
91,1953-09-25,Tokyo
92,1953-12-10,Tokyo
93,1954-01-24,Tokyo
94,1954-01-25,Tokyo
95,1954-01-27,Tokyo
96,1954-01-29,Tokyo
97,1954-02-21,Tokyo
98,1954-03-07,Tokyo
99,1954-03-10,Tokyo
100,1954-03-29,Tokyo
101,1954-04-12,Tokyo
102,1954-08-18,Tokyo
103,1954-08-19,Tokyo
104,1954-08-30,Tokyo
105,1954-09-18,Tokyo
106,1954-09-26,Tokyo
107,1954-11-28,Tokyo
108,1954-12-15,Tokyo
109,1955-01-26,Tokyo
110,1955-02-20,Tokyo
111,1955-03-09,Tokyo
112,1955-03-18,Tokyo
113,1955-07-04,Tokyo
114,1955-07-27,Tokyo
115,1955-08-03,Tokyo
116,1955-08-21,Tokyo
117,1955-10-11,Tokyo
118,1955-10-20,Tokyo
119,1955-10-27,Tokyo
120,1955-12-16,Tokyo
121,1955-12-26,Tokyo
122,1956-01-04,Tokyo
123,1956-02-24,Tokyo
124,1956-02-27,Tokyo
125,1956-03-12,Tokyo
126,1956-05-06,Tokyo
127,1956-08-17,Tokyo
128,1956-08-30,Tokyo
129,1957-02-11,Tokyo
130,1957-03-08,Tokyo
131,1957-09-08,Tokyo
