,Unnamed: 0,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,temperature_2m_mean_rank
0,121824,1940-01-01,Moscow,37.600006,55.800003,71.0,-15.6,-21.9,-18.6,-20.9,-26.8,-23.9,,,,12.0,,0.024363815465440815
1,121825,1940-01-02,Moscow,37.600006,55.800003,3.0,-22.9,-28.9,-25.3,-27.8,-34.5,-30.8,0.0,0.0,0.0,13.9,22.7,0.005450664915449023
2,121826,1940-01-03,Moscow,37.600006,55.800003,71.0,-13.6,-22.4,-16.7,-20.4,-28.5,-23.6,0.3,0.0,0.21,24.6,43.2,0.03551141027745854
3,121827,1940-01-04,Moscow,37.600006,55.800003,71.0,-12.8,-15.0,-13.7,-18.3,-20.6,-19.4,2.3,0.0,1.61,21.3,37.1,0.059776719750451485
4,121828,1940-01-05,Moscow,37.600006,55.800003,71.0,-14.2,-20.3,-16.9,-18.5,-25.1,-21.6,0.4,0.0,0.28,10.7,15.1,0.03406665572155639
5,121829,1940-01-06,Moscow,37.600006,55.800003,3.0,-20.5,-27.1,-23.5,-25.3,-33.0,-28.8,0.0,0.0,0.0,13.4,20.2,0.00857002134296503
6,121830,1940-01-07,Moscow,37.600006,55.800003,3.0,-27.1,-31.9,-29.1,-33.0,-37.6,-35.0,0.0,0.0,0.0,13.7,22.0,0.0019537021835494993
7,121831,1940-01-08,Moscow,37.600006,55.800003,1.0,-30.3,-34.8,-32.8,-36.2,-40.6,-38.7,0.0,0.0,0.0,13.4,21.6,0.0005582006238712855
8,121832,1940-01-09,Moscow,37.600006,55.800003,3.0,-32.8,-38.1,-35.7,-38.2,-43.1,-41.2,0.0,0.0,0.0,10.5,19.8,0.00029551797734362175
9,121833,1940-01-10,Moscow,37.600006,55.800003,73.0,-14.4,-39.1,-25.3,-20.7,-44.1,-31.3,3.1,0.0,2.17,18.9,31.3,0.005450664915449023
10,121834,1940-01-11,Moscow,37.600006,55.800003,71.0,-10.4,-14.0,-11.7,-15.8,-20.4,-17.4,2.3,0.0,1.61,19.0,28.4,0.08169430307010343
11,121835,1940-01-12,Moscow,37.600006,55.800003,73.0,-10.6,-12.6,-11.3,-14.7,-17.9,-16.6,8.5,0.0,5.95,19.2,33.5,0.08716138565096043
12,121836,1940-01-13,Moscow,37.600006,55.800003,71.0,-13.0,-19.1,-16.6,-18.3,-23.4,-21.6,0.9,0.0,0.63,14.6,25.6,0.0362502052208176
13,121837,1940-01-14,Moscow,37.600006,55.800003,73.0,-3.3,-17.5,-8.9,-8.3,-22.9,-14.0,2.1,0.0,1.47,16.6,28.1,0.12162206534230832
14,121838,1940-01-15,Moscow,37.600006,55.800003,71.0,-16.4,-29.4,-24.5,-22.3,-34.8,-29.9,0.1,0.0,0.07,14.5,23.4,0.006813331144311279
15,121839,1940-01-16,Moscow,37.600006,55.800003,71.0,-29.6,-42.1,-37.3,-35.4,-47.6,-43.3,0.3,0.0,0.21,14.8,25.2,0.00019701198489574783
16,121840,1940-01-17,Moscow,37.600006,55.800003,3.0,-37.2,-42.5,-39.6,-42.4,-48.1,-45.1,0.0,0.0,0.0,10.7,18.4,6.567066163191595e-05
17,121841,1940-01-18,Moscow,37.600006,55.800003,71.0,-24.4,-37.7,-30.0,-30.2,-42.4,-35.4,1.5,0.0,1.05,15.2,22.7,0.001280577901822361
18,121842,1940-01-19,Moscow,37.600006,55.800003,3.0,-20.2,-26.0,-23.0,-26.3,-31.3,-28.7,0.0,0.0,0.0,16.6,28.8,0.009637169594483665
19,121843,1940-01-20,Moscow,37.600006,55.800003,71.0,-11.6,-19.9,-16.0,-17.6,-26.2,-22.1,1.4,0.0,0.98,17.5,36.0,0.04020686258414054
20,121844,1940-01-21,Moscow,37.600006,55.800003,71.0,-11.6,-15.1,-12.6,-17.7,-20.4,-18.4,0.8,0.0,0.56,18.8,30.2,0.07087506156624528
