,Unnamed: 0,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,temperature_2m_mean_rank
0,182736,1940-01-01,Reykjavik,-21.899994,64.100006,73.0,2.2,-1.7,0.3,-3.2,-6.8,-4.8,,,,22.3,,0.26394680676407817
1,182737,1940-01-02,Reykjavik,-21.899994,64.100006,73.0,1.0,-0.4,0.3,-4.0,-5.9,-4.9,3.7,0.1,2.52,19.8,39.6,0.26394680676407817
2,182738,1940-01-03,Reykjavik,-21.899994,64.100006,73.0,4.0,-0.4,1.8,1.2,-6.3,-3.1,5.0,1.2,2.66,30.0,54.0,0.3432441306846166
3,182739,1940-01-04,Reykjavik,-21.899994,64.100006,53.0,5.4,1.5,2.4,1.5,-2.1,-1.4,2.1,2.1,0.0,21.1,27.7,0.37911672960105075
4,182740,1940-01-05,Reykjavik,-21.899994,64.100006,55.0,6.5,4.6,5.6,1.8,0.2,1.2,5.5,5.5,0.0,29.9,52.9,0.5664915449023149
5,182741,1940-01-06,Reykjavik,-21.899994,64.100006,55.0,6.5,-0.1,4.2,2.1,-4.7,-0.3,4.1,4.1,0.0,29.5,46.8,0.48423904120834016
6,182742,1940-01-07,Reykjavik,-21.899994,64.100006,53.0,5.9,3.0,4.3,1.8,-1.4,-0.0,1.8,1.8,0.0,22.7,40.3,0.4908553603677557
7,182743,1940-01-08,Reykjavik,-21.899994,64.100006,61.0,7.3,4.7,5.8,2.1,-0.8,1.0,11.4,11.4,0.0,46.8,87.5,0.5785092759809555
8,182744,1940-01-09,Reykjavik,-21.899994,64.100006,63.0,9.9,7.3,8.4,5.1,0.3,3.1,22.9,22.9,0.0,42.0,90.0,0.7244623214578887
9,182745,1940-01-10,Reykjavik,-21.899994,64.100006,53.0,8.0,2.2,5.1,3.1,-4.0,-1.0,5.2,5.2,0.0,38.4,69.1,0.538285995731407
10,182746,1940-01-11,Reykjavik,-21.899994,64.100006,71.0,9.5,1.8,3.2,2.4,-5.1,-3.3,13.8,13.3,0.35,46.3,92.2,0.42464291577737645
11,182747,1940-01-12,Reykjavik,-21.899994,64.100006,73.0,7.6,0.3,1.8,2.4,-8.8,-5.2,5.5,2.5,2.1,45.3,79.9,0.3432441306846166
12,182748,1940-01-13,Reykjavik,-21.899994,64.100006,73.0,1.1,-2.3,-0.5,-8.1,-11.2,-9.4,2.1,0.2,1.33,47.8,90.7,0.22587424068297488
13,182749,1940-01-14,Reykjavik,-21.899994,64.100006,71.0,-0.2,-5.6,-2.3,-6.0,-11.9,-8.3,0.7,0.1,0.42,31.3,52.9,0.15619766869151205
14,182750,1940-01-15,Reykjavik,-21.899994,64.100006,1.0,-4.8,-7.7,-6.0,-10.8,-14.4,-12.7,0.0,0.0,0.0,25.4,45.7,0.06864225907076013
15,182751,1940-01-16,Reykjavik,-21.899994,64.100006,73.0,-4.2,-5.3,-4.6,-9.5,-11.8,-10.5,1.7,0.0,1.19,21.8,38.9,0.09504186504679035
16,182752,1940-01-17,Reykjavik,-21.899994,64.100006,2.0,-5.5,-8.2,-7.1,-11.9,-14.9,-14.0,0.0,0.0,0.0,26.0,45.7,0.0521096700049253
17,182753,1940-01-18,Reykjavik,-21.899994,64.100006,1.0,-7.4,-9.3,-8.3,-14.8,-16.1,-15.6,0.0,0.0,0.0,30.4,51.5,0.036939747167952716
18,182754,1940-01-19,Reykjavik,-21.899994,64.100006,2.0,-7.8,-9.6,-8.9,-13.8,-16.3,-15.5,0.0,0.0,0.0,23.4,45.4,0.03056969298965687
19,182755,1940-01-20,Reykjavik,-21.899994,64.100006,3.0,-7.7,-10.1,-9.2,-13.6,-15.3,-14.4,0.0,0.0,0.0,17.4,33.1,0.027565260219996716
20,182756,1940-01-21,Reykjavik,-21.899994,64.100006,2.0,-6.6,-10.7,-9.1,-11.3,-15.9,-14.1,0.0,0.0,0.0,11.9,20.9,0.028517484813659497
21,182757,1940-01-22,Reykjavik,-21.899994,64.100006,71.0,0.9,-8.2,-5.6,-5.3,-13.1,-10.4,1.1,0.8,0.21,26.6,33.8,0.07581677885404696
22,182758,1940-01-23,Reykjavik,-21.899994,64.100006,71.0,3.1,0.8,2.4,-4.2,-6.0,-5.1,7.0,6.0,0.7,45.4,81.4,0.37911672960105075
23,182759,1940-01-24,Reykjavik,-21.899994,64.100006,53.0,3.8,2.3,3.0,-1.6,-5.7,-4.5,4.1,4.1,0.0,41.5,77.8,0.4130192086685273
24,182760,1940-01-25,Reykjavik,-21.899994,64.100006,53.0,3.8,1.3,3.1,0.3,-4.1,-1.1,3.2,3.2,0.0,23.2,37.8,0.41873255623050404
25,182761,1940-01-26,Reykjavik,-21.899994,64.100006,53.0,6.7,0.4,3.8,2.1,-6.0,-1.5,5.2,5.2,0.0,31.6,54.0,0.46017074372024297
26,182762,1940-01-27,Reykjavik,-21.899994,64.100006,61.0,6.7,5.0,6.0,1.9,0.2,1.2,6.5,6.5,0.0,28.8,55.1,0.5893285174848136
27,182763,1940-01-28,Reykjavik,-21.899994,64.100006,53.0,6.5,4.1,5.7,1.4,-0.5,0.5,4.2,4.2,0.0,33.4,67.7,0.5725824987686751
28,182764,1940-01-29,Reykjavik,-21.899994,64.100006,55.0,5.6,3.8,4.8,2.1,-0.5,0.8,4.4,4.4,0.0,20.5,42.1,0.5205713347561977
29,182765,1940-01-30,Reykjavik,-21.899994,64.100006,51.0,5.6,-1.5,3.5,2.3,-6.1,-0.4,0.1,0.1,0.0,17.7,43.9,0.44186504679034644
30,182766,1940-01-31,Reykjavik,-21.899994,64.100006,3.0,-0.9,-2.5,-1.8,-4.7,-6.9,-6.1,0.0,0.0,0.0,14.6,24.1,0.17394516499753734
31,182767,1940-02-01,Reykjavik,-21.899994,64.100006,1.0,-1.5,-3.9,-2.9,-5.2,-8.2,-6.9,0.0,0.0,0.0,10.1,18.7,0.13730093580692826
32,182768,1940-02-02,Reykjavik,-21.899994,64.100006,1.0,-1.1,-4.6,-3.1,-6.3,-9.5,-8.1,0.0,0.0,0.0,16.3,28.1,0.13125923493679198
33,182769,1940-02-03,Reykjavik,-21.899994,64.100006,51.0,4.0,-1.8,1.1,-2.0,-7.3,-4.5,0.8,0.8,0.0,30.7,47.2,0.30466261697586605
34,182770,1940-02-04,Reykjavik,-21.899994,64.100006,51.0,4.8,3.2,4.2,0.3,-2.4,-1.3,1.6,1.6,0.0,30.6,53.3,0.48423904120834016
35,182771,1940-02-05,Reykjavik,-21.899994,64.100006,53.0,5.3,3.0,4.1,1.1,-1.4,-0.0,3.3,3.3,0.0,20.2,34.6,0.4778197340338204
36,182772,1940-02-06,Reykjavik,-21.899994,64.100006,53.0,5.9,4.8,5.4,2.1,-0.6,0.7,6.6,6.6,0.0,30.6,46.8,0.5547200788047939
37,182773,1940-02-07,Reykjavik,-21.899994,64.100006,53.0,6.7,4.5,5.6,3.6,0.4,1.6,1.9,1.9,0.0,26.8,46.4,0.5664915449023149
38,182774,1940-02-08,Reykjavik,-21.899994,64.100006,53.0,5.2,1.3,3.6,1.2,-3.4,-0.8,1.4,1.4,0.0,30.6,52.9,0.4479560006567066
39,182775,1940-02-09,Reykjavik,-21.899994,64.100006,73.0,4.0,0.5,2.3,0.9,-2.5,-1.1,9.6,6.2,2.38,19.1,41.4,0.3733541290428501
