,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max
91368,1940-01-01,Rio de Janeiro,-43.300003,-22.799995,63.0,24.0,19.9,22.0,27.9,21.7,24.8,,,,12.8,
91369,1940-01-02,Rio de Janeiro,-43.300003,-22.799995,51.0,28.2,21.8,24.7,31.2,25.0,27.9,1.4,1.4,0.0,13.3,29.5
91370,1940-01-03,Rio de Janeiro,-43.300003,-22.799995,51.0,28.3,24.0,26.0,31.4,26.2,29.2,0.1,0.1,0.0,11.1,27.7
91371,1940-01-04,Rio de Janeiro,-43.300003,-22.799995,53.0,28.7,23.7,26.0,33.0,26.5,29.6,0.8,0.8,0.0,13.1,31.3
91372,1940-01-05,Rio de Janeiro,-43.300003,-22.799995,63.0,27.3,23.2,24.9,33.2,27.2,29.1,12.0,12.0,0.0,11.1,18.4
91373,1940-01-06,Rio de Janeiro,-43.300003,-22.799995,53.0,28.6,23.1,25.5,33.7,26.4,29.4,7.0,7.0,0.0,13.1,28.8
91374,1940-01-07,Rio de Janeiro,-43.300003,-22.799995,55.0,28.3,22.6,25.1,35.2,26.4,29.8,2.3,2.3,0.0,13.4,25.9
91375,1940-01-08,Rio de Janeiro,-43.300003,-22.799995,61.0,27.3,22.3,24.5,33.7,27.0,29.1,5.0,5.0,0.0,16.2,28.8
91376,1940-01-09,Rio de Janeiro,-43.300003,-22.799995,63.0,25.7,22.9,23.9,30.5,27.2,28.5,30.3,30.3,0.0,11.4,24.1
91377,1940-01-10,Rio de Janeiro,-43.300003,-22.799995,61.0,25.1,22.9,23.8,30.2,26.4,28.0,13.4,13.4,0.0,14.6,28.8
91378,1940-01-11,Rio de Janeiro,-43.300003,-22.799995,63.0,25.1,22.8,23.6,29.2,27.1,28.0,35.6,35.6,0.0,9.7,31.0
91379,1940-01-12,Rio de Janeiro,-43.300003,-22.799995,61.0,27.6,22.6,24.7,32.5,26.4,29.1,13.2,13.2,0.0,9.4,27.0
91380,1940-01-13,Rio de Janeiro,-43.300003,-22.799995,53.0,27.5,23.4,25.4,32.2,27.3,29.7,5.5,5.5,0.0,12.6,31.3
91381,1940-01-14,Rio de Janeiro,-43.300003,-22.799995,53.0,27.0,23.3,25.3,32.5,26.8,29.7,3.0,3.0,0.0,9.4,22.3
91382,1940-01-15,Rio de Janeiro,-43.300003,-22.799995,51.0,31.6,22.6,26.8,39.1,25.8,31.4,0.5,0.5,0.0,14.8,32.8
91383,1940-01-16,Rio de Janeiro,-43.300003,-22.799995,53.0,31.0,23.7,27.2,38.6,27.1,32.4,0.8,0.8,0.0,8.7,20.9
91384,1940-01-17,Rio de Janeiro,-43.300003,-22.799995,61.0,27.6,23.9,25.7,34.8,28.9,31.0,7.2,7.2,0.0,15.3,23.4
91385,1940-01-18,Rio de Janeiro,-43.300003,-22.799995,63.0,31.2,23.7,26.4,39.5,28.0,31.9,5.3,5.3,0.0,14.6,28.4
