,Unnamed: 0,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,temperature_2m_mean_rank
0,30456,1940-01-01,Sydney,151.20001,-33.899998,51.0,23.0,17.4,19.6,23.9,16.2,18.6,,,,25.3,,0.6683467410934165
1,30457,1940-01-02,Sydney,151.20001,-33.899998,51.0,22.2,16.4,19.6,22.7,17.5,20.1,2.3,2.3,0.0,17.1,43.9,0.6683467410934165
2,30458,1940-01-03,Sydney,151.20001,-33.899998,51.0,25.1,16.6,21.1,25.7,17.8,21.6,0.6,0.6,0.0,19.7,42.1,0.7957314069939254
3,30459,1940-01-04,Sydney,151.20001,-33.899998,53.0,28.5,19.3,23.2,29.7,20.3,24.1,3.0,3.0,0.0,18.4,38.9,0.9323756361845346
4,30460,1940-01-05,Sydney,151.20001,-33.899998,55.0,24.7,19.9,21.4,26.2,20.2,21.9,8.1,8.1,0.0,17.3,42.8,0.8188310622229519
5,30461,1940-01-06,Sydney,151.20001,-33.899998,61.0,29.2,18.7,22.6,32.1,19.4,24.0,5.2,5.2,0.0,16.6,34.2,0.9019208668527335
6,30462,1940-01-07,Sydney,151.20001,-33.899998,61.0,19.6,17.8,18.5,21.0,17.5,18.8,13.9,13.9,0.0,18.6,38.5,0.5787391232966672
7,30463,1940-01-08,Sydney,151.20001,-33.899998,51.0,21.8,15.1,18.6,21.9,15.4,18.3,0.3,0.3,0.0,16.3,42.8,0.5860778197340338
8,30464,1940-01-09,Sydney,151.20001,-33.899998,3.0,24.4,16.5,20.3,25.8,17.2,20.6,0.0,0.0,0.0,17.9,40.0,0.7278443605319324
9,30465,1940-01-10,Sydney,151.20001,-33.899998,3.0,25.9,15.2,20.7,27.6,15.7,21.4,0.0,0.0,0.0,14.3,35.6,0.76246921687736
10,30466,1940-01-11,Sydney,151.20001,-33.899998,51.0,32.0,19.7,23.7,33.9,20.1,24.5,0.2,0.2,0.0,23.4,45.7,0.9500246264981119
11,30467,1940-01-12,Sydney,151.20001,-33.899998,51.0,26.1,20.2,22.7,26.8,21.9,24.0,1.1,1.1,0.0,17.3,41.0,0.9071745197832868
12,30468,1940-01-13,Sydney,151.20001,-33.899998,3.0,29.7,19.2,23.6,32.1,22.2,25.7,0.0,0.0,0.0,17.0,36.0,0.9466754227548843
13,30469,1940-01-14,Sydney,151.20001,-33.899998,3.0,29.1,18.7,23.2,31.8,21.1,25.7,0.0,0.0,0.0,20.6,40.7,0.9323756361845346
14,30470,1940-01-15,Sydney,151.20001,-33.899998,61.0,37.5,20.0,26.3,38.3,21.1,27.4,3.3,3.3,0.0,17.7,40.0,0.9915613199802988
15,30471,1940-01-16,Sydney,151.20001,-33.899998,3.0,25.9,18.0,22.2,28.4,19.1,23.4,0.0,0.0,0.0,21.4,40.0,0.8761287144967985
16,30472,1940-01-17,Sydney,151.20001,-33.899998,51.0,34.1,20.8,24.7,36.1,22.7,26.4,2.1,2.1,0.0,26.8,53.6,0.9749302249220161
17,30473,1940-01-18,Sydney,151.20001,-33.899998,51.0,25.5,21.6,23.0,29.1,23.7,25.9,0.7,0.7,0.0,11.9,37.1,0.922656378263011
