,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max
0,1940-01-01,Tokyo,139.70001,35.700005,3.0,4.7,-2.1,0.7,-3.2,-6.1,-4.7,,,,32.9,
1,1940-01-02,Tokyo,139.70001,35.700005,3.0,3.5,-1.9,0.6,-0.1,-4.9,-3.0,0.0,0.0,0.0,10.0,16.2
2,1940-01-03,Tokyo,139.70001,35.700005,1.0,9.3,-0.8,3.2,5.9,-4.8,-0.4,0.0,0.0,0.0,17.0,26.6
3,1940-01-04,Tokyo,139.70001,35.700005,1.0,9.6,1.3,5.0,5.4,-1.9,1.3,0.0,0.0,0.0,17.5,31.3
4,1940-01-05,Tokyo,139.70001,35.700005,1.0,14.5,-0.4,5.9,10.5,-3.9,2.3,0.0,0.0,0.0,26.6,46.1
5,1940-01-06,Tokyo,139.70001,35.700005,51.0,10.4,0.4,4.3,8.2,-2.3,1.6,0.1,0.1,0.0,15.2,28.4
6,1940-01-07,Tokyo,139.70001,35.700005,51.0,9.0,-0.7,3.1,4.9,-4.6,-0.8,0.2,0.2,0.0,19.6,41.0
7,1940-01-08,Tokyo,139.70001,35.700005,51.0,8.5,-1.7,3.0,3.6,-5.7,-1.6,0.2,0.2,0.0,17.9,36.7
8,1940-01-09,Tokyo,139.70001,35.700005,71.0,3.1,-4.5,-1.6,-2.1,-11.0,-7.7,0.7,0.4,0.21,31.5,47.2
9,1940-01-10,Tokyo,139.70001,35.700005,51.0,3.0,-4.4,-1.3,-5.0,-10.1,-7.9,0.3,0.3,0.0,30.7,46.8
10,1940-01-11,Tokyo,139.70001,35.700005,0.0,4.8,-4.0,0.3,1.1,-8.1,-3.8,0.0,0.0,0.0,9.5,30.2
11,1940-01-12,Tokyo,139.70001,35.700005,1.0,8.7,-1.3,3.2,4.5,-5.2,-0.3,0.0,0.0,0.0,11.5,18.0
12,1940-01-13,Tokyo,139.70001,35.700005,51.0,8.7,1.2,4.2,6.4,-2.6,1.1,0.9,0.9,0.0,14.5,21.6
13,1940-01-14,Tokyo,139.70001,35.700005,71.0,5.2,-3.1,0.6,0.1,-8.6,-4.8,0.2,0.0,0.14,18.9,41.0
14,1940-01-15,Tokyo,139.70001,35.700005,2.0,4.0,-4.3,-0.6,-1.5,-8.7,-5.6,0.0,0.0,0.0,18.8,39.2
15,1940-01-16,Tokyo,139.70001,35.700005,3.0,3.5,-2.2,0.5,-0.4,-6.6,-3.4,0.0,0.0,0.0,12.6,20.9
16,1940-01-17,Tokyo,139.70001,35.700005,2.0,5.0,-3.1,1.0,1.3,-6.4,-2.9,0.0,0.0,0.0,13.4,22.0
17,1940-01-18,Tokyo,139.70001,35.700005,3.0,4.9,-4.1,0.2,0.5,-8.2,-4.0,0.0,0.0,0.0,12.2,37.8
18,1940-01-19,Tokyo,139.70001,35.700005,1.0,4.3,-4.9,-0.6,0.5,-9.6,-5.3,0.0,0.0,0.0,14.1,24.8
19,1940-01-20,Tokyo,139.70001,35.700005,0.0,5.4,-3.1,0.6,-1.5,-8.2,-5.1,0.0,0.0,0.0,26.0,46.4
20,1940-01-21,Tokyo,139.70001,35.700005,1.0,6.1,-4.7,0.6,1.2,-9.2,-4.0,0.0,0.0,0.0,17.4,30.6
21,1940-01-22,Tokyo,139.70001,35.700005,3.0,5.5,-2.4,1.5,2.0,-7.3,-2.6,0.0,0.0,0.0,12.7,19.4
22,1940-01-23,Tokyo,139.70001,35.700005,1.0,8.1,-3.3,1.6,3.7,-8.5,-3.7,0.0,0.0,0.0,24.2,39.6
23,1940-01-24,Tokyo,139.70001,35.700005,1.0,4.3,-4.7,-0.4,-0.8,-9.8,-5.5,0.0,0.0,0.0,15.2,45.4
24,1940-01-25,Tokyo,139.70001,35.700005,71.0,4.5,-4.3,-0.0,0.9,-9.7,-4.4,0.2,0.0,0.14,14.4,26.3
