,Unnamed: 0,time,location_name,longitude,latitude,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,temperature_2m_mean_rank
0,152280,1940-01-01,Toronto,-79.4,43.699997,3.0,-4.4,-8.5,-6.7,-11.1,-15.8,-13.7,,,,32.2,,0.09164340830733869
1,152281,1940-01-02,Toronto,-79.4,43.699997,71.0,-6.4,-11.5,-8.8,-12.0,-16.6,-14.5,0.1,0.0,0.07,20.0,37.8,0.06071252667870629
2,152282,1940-01-03,Toronto,-79.4,43.699997,71.0,-3.2,-9.2,-6.6,-8.9,-14.7,-12.5,0.2,0.0,0.14,26.1,43.2,0.09353143982925628
3,152283,1940-01-04,Toronto,-79.4,43.699997,71.0,-3.5,-9.9,-6.1,-7.3,-14.5,-10.9,0.4,0.0,0.28,15.8,27.0,0.1019537021835495
4,152284,1940-01-05,Toronto,-79.4,43.699997,73.0,-2.8,-6.9,-4.9,-7.3,-14.1,-10.2,3.3,0.0,2.31,28.9,52.9,0.12357576752585782
5,152285,1940-01-06,Toronto,-79.4,43.699997,3.0,-7.1,-12.1,-9.0,-13.7,-17.3,-15.2,0.0,0.0,0.0,24.1,46.1,0.05866031850270891
6,152286,1940-01-07,Toronto,-79.4,43.699997,3.0,-7.1,-20.4,-13.3,-12.4,-25.4,-18.5,0.0,0.0,0.0,16.7,29.5,0.01924150385815137
7,152287,1940-01-08,Toronto,-79.4,43.699997,71.0,-5.5,-11.3,-7.7,-10.5,-17.4,-13.3,0.5,0.1,0.28,17.4,31.0,0.07612871449679856
8,152288,1940-01-09,Toronto,-79.4,43.699997,1.0,-3.9,-16.3,-11.0,-8.2,-21.5,-16.0,0.0,0.0,0.0,13.9,23.4,0.036660646856017075
9,152289,1940-01-10,Toronto,-79.4,43.699997,3.0,-1.8,-13.8,-7.5,-6.3,-18.9,-12.1,0.0,0.0,0.0,10.2,19.4,0.07903464127401083
10,152290,1940-01-11,Toronto,-79.4,43.699997,75.0,0.4,-10.2,-4.4,-4.5,-15.3,-9.5,5.4,0.1,3.71,24.1,37.8,0.13340994910523724
11,152291,1940-01-12,Toronto,-79.4,43.699997,73.0,3.2,0.1,1.6,-1.5,-4.5,-2.8,6.0,3.8,1.54,19.0,36.4,0.3056312592349368
12,152292,1940-01-13,Toronto,-79.4,43.699997,3.0,-0.4,-7.9,-3.6,-4.5,-12.2,-8.0,0.0,0.0,0.0,18.1,33.5,0.15076342144147103
13,152293,1940-01-14,Toronto,-79.4,43.699997,71.0,5.8,-1.1,3.0,0.5,-6.0,-2.5,18.8,18.7,0.07,35.9,74.2,0.3533081595797078
14,152294,1940-01-15,Toronto,-79.4,43.699997,73.0,5.9,-5.4,-1.2,-0.3,-13.1,-8.3,5.6,3.9,1.19,34.2,68.8,0.21024462321457887
15,152295,1940-01-16,Toronto,-79.4,43.699997,71.0,-6.0,-14.4,-10.0,-14.1,-21.4,-17.5,0.3,0.0,0.21,33.1,55.4,0.04720078804793958
16,152296,1940-01-17,Toronto,-79.4,43.699997,3.0,-11.8,-19.5,-16.4,-17.5,-25.0,-22.2,0.0,0.0,0.0,21.1,36.0,0.006386471843703825
17,152297,1940-01-18,Toronto,-79.4,43.699997,3.0,-11.5,-16.3,-14.2,-19.1,-23.0,-20.9,0.0,0.0,0.0,25.5,47.2,0.014496798555245443
18,152298,1940-01-19,Toronto,-79.4,43.699997,71.0,-11.4,-16.7,-15.0,-18.3,-23.7,-22.0,0.2,0.0,0.14,25.0,46.4,0.010753570842226235
19,152299,1940-01-20,Toronto,-79.4,43.699997,71.0,-6.1,-15.0,-12.1,-12.8,-21.9,-18.9,0.6,0.0,0.42,25.9,47.5,0.02753242488918076
20,152300,1940-01-21,Toronto,-79.4,43.699997,71.0,-3.2,-11.4,-7.8,-9.4,-18.0,-14.8,0.9,0.0,0.63,31.2,51.5,0.07450336562140863
21,152301,1940-01-22,Toronto,-79.4,43.699997,71.0,-3.6,-9.9,-5.7,-8.0,-15.8,-11.5,0.2,0.0,0.14,23.0,41.4,0.10881628632408472
